training/actor/actor_loss,training/actor/mse,training/actor/pred_action_abs_mean,training/actor/target_action_abs_mean,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/mse,validation/actor/pred_action_abs_mean,validation/actor/target_action_abs_mean,time/epoch_time,time/total_time,step
0.47523284,0.47523284,0.12070585,0.6285209,0.0453375,-0.09977026,0.8208736,0.4754881,0.4754881,0.13311559,0.62459904,0.0031969211101531983,6.393856525421143,2000
0.4430292,0.4430292,0.20641525,0.62403053,1.2683008,-1.4648687,9.409103,0.4211359,0.4211359,0.17489767,0.616428,0.0030760649442672728,12.546018362045288,4000
0.42352656,0.42352656,0.2061563,0.633632,0.44779062,-0.8023198,4.0943666,0.41390657,0.41390657,0.20754322,0.6029528,0.009145464062690735,30.836969137191772,6000
0.38904214,0.38904214,0.23555371,0.62631905,1.2565079,-0.45908332,6.0638065,0.40356264,0.40356264,0.22857611,0.6312267,0.003294033169746399,37.42507529258728,8000
0.39642823,0.39642823,0.21628115,0.61589646,0.33428076,-0.7405765,3.356907,0.41321573,0.41321573,0.20337538,0.6211443,0.003290067195892334,44.00523543357849,10000
