training/actor/actor_loss,training/critic/distill_loss,training/critic/improve_frac,training/critic/mc_loss,training/critic/q_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/critic/total_loss,training/critic/z_mc_target_mean,training/critic/z_mean,training/critic/z_target_mean,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/critic/distill_loss,validation/critic/improve_frac,validation/critic/mc_loss,validation/critic/q_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/critic/total_loss,validation/critic/z_mc_target_mean,validation/critic/z_mean,validation/critic/z_target_mean,time/epoch_time,time/total_time,step
1.3355585,0.0,0.01171875,0.028090335,0.00018647163,0.8026023,0.69454,0.5008815,0.028276807,-0.33268943,-0.3695954,-0.67469656,0.7393096,-0.68741226,11.87353,1.3870606,0.0,0.013671875,0.030842997,0.00016779355,0.79988635,0.68037164,0.47751305,0.03101079,-0.3563338,-0.39049065,-0.69405115,0.011679840564727784,11.679857015609741,1000
1.2714415,0.0,0.01953125,0.032904144,0.00016334876,0.79590034,0.6871457,0.47870028,0.033067495,-0.38618428,-0.3803246,-0.66976136,0.37515354,-0.24882087,4.9872317,1.4690336,0.0,0.03125,0.030549394,0.00024675165,0.78647417,0.67338747,0.42861637,0.030796146,-0.36145735,-0.4007254,-0.6702119,0.0038945016860961914,15.574374198913574,2000
1.1674793,0.0,0.01953125,0.032179974,0.00021175378,0.83204454,0.6796416,0.4557414,0.032391727,-0.40126193,-0.3931709,-0.67723596,1.4821155,-1.2507956,8.939407,1.3204458,0.0,0.037109375,0.031246552,1.5833779e-05,0.81977105,0.67566156,0.4155692,0.031262387,-0.37515935,-0.39767927,-0.6677715,0.003872023344039917,19.446413278579712,3000
1.166611,0.0,0.041015625,0.031745233,0.00021917424,0.80009645,0.6647719,0.4142091,0.031964406,-0.36614323,-0.41440213,-0.6502793,1.2203046,-3.0034864,12.899075,1.1656349,0.0,0.015625,0.03093535,7.2231683e-06,0.8228913,0.68973804,0.50354284,0.030942574,-0.34566844,-0.37713408,-0.670496,0.003952582836151123,23.399018049240112,4000
1.1190948,0.0,0.021484375,0.0278522,1.0848331e-05,0.81367314,0.7040425,0.5266137,0.027863048,-0.35469234,-0.35514638,-0.6599513,0.81092304,-1.2636218,7.8192215,1.0668046,0.0,0.025390625,0.033896796,0.000112815884,0.8572896,0.7022493,0.5176581,0.034009613,-0.34435138,-0.358371,-0.6550582,0.0038416028022766114,27.24063515663147,5000
1.0415394,0.0,0.021484375,0.03326172,1.2888484e-05,0.8343864,0.68544126,0.47140718,0.03327461,-0.3763826,-0.38452542,-0.6522372,2.4193797,-1.5605015,8.512073,1.0523605,0.0,0.01171875,0.02874204,3.8698554e-06,0.8292139,0.6824446,0.49555475,0.02874591,-0.3406425,-0.3885886,-0.6667283,0.003886451244354248,31.12710976600647,6000
1.0762272,0.0,0.033203125,0.028909633,0.00022006605,0.82510155,0.6937946,0.5038842,0.029129699,-0.35752186,-0.370485,-0.6616479,2.3922539,-2.414403,18.36128,1.0742059,0.0,0.015625,0.034248024,0.00017560097,0.82535005,0.70363724,0.5174495,0.034423627,-0.36318085,-0.3559566,-0.6594603,0.003972743034362793,35.09988188743591,7000
0.9899305,0.0,0.001953125,0.03257347,9.925688e-08,0.8437068,0.7151407,0.5175269,0.03257357,-0.35149157,-0.3409333,-0.6487665,1.7734224,-2.359816,11.209843,1.0499567,0.0,0.00390625,0.0259479,5.631776e-07,0.84748423,0.7196252,0.50817305,0.025948463,-0.33364695,-0.33373666,-0.6587428,0.0038367111682891847,38.93662071228027,8000
0.9120892,0.0,0.021484375,0.030680569,0.00016215982,0.83088464,0.6991818,0.48110133,0.030842729,-0.36311835,-0.36319542,-0.65897346,2.0761855,-3.7379324,16.807228,1.1901517,0.0,0.0078125,0.027086806,0.00015410178,0.8476141,0.7033198,0.47610703,0.027240908,-0.3563338,-0.35782212,-0.6621065,0.0038778483867645264,42.81448745727539,9000
1.018635,0.0,0.021484375,0.030536253,0.00015150642,0.8201148,0.71097183,0.47642353,0.030687759,-0.36283302,-0.34696987,-0.6454063,2.8696795,-4.2759895,16.16761,1.0771337,0.0,0.0078125,0.028482798,9.183374e-07,0.82336974,0.70705307,0.5136921,0.028483717,-0.3459459,-0.35205537,-0.6685581,0.003949826240539551,46.76434087753296,10000
