training/actor/actor_loss,training/critic/distill_loss,training/critic/improve_frac,training/critic/mc_loss,training/critic/q_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/critic/q_td_target_mean,training/critic/td_loss,training/critic/total_loss,training/critic/z_mc_target_mean,training/critic/z_mean,training/critic/z_target_mean,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/critic/distill_loss,validation/critic/improve_frac,validation/critic/mc_loss,validation/critic/q_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/critic/q_td_target_mean,validation/critic/td_loss,validation/critic/total_loss,validation/critic/z_mc_target_mean,validation/critic/z_mean,validation/critic/z_target_mean,time/epoch_time,time/total_time,step
1.3762648,0.0,0.0,0.029184835,0.0,0.7645063,0.65432566,0.516432,0.62959343,0.0003911368,0.006228104,-0.35682622,-0.42779127,-0.8730414,0.6612061,-0.64629257,9.065707,1.2521594,0.0,0.00390625,0.035122976,0.0001977139,0.7627598,0.6621163,0.51987803,0.63082445,0.00069401565,0.007916325,-0.37352574,-0.41542822,-0.8818821,0.011713993072509766,11.71401047706604,1000
1.2728156,0.0,0.009765625,0.03314563,0.00018347075,0.78761023,0.68176866,0.520098,0.6792494,0.00015556155,0.006968158,-0.40482616,-0.38710457,-0.72038436,0.87016636,-1.0208716,13.943672,1.3533014,0.0,0.015625,0.029649433,0.00023299006,0.79396194,0.6823958,0.5314607,0.6829429,9.927686e-05,0.0062621534,-0.3407637,-0.38554043,-0.70381266,0.003978028774261475,15.692060947418213,2000
1.1569905,0.0,0.013671875,0.032168843,0.00016323398,0.79842466,0.69209355,0.4739275,0.6895498,5.9623184e-05,0.006656626,-0.4076205,-0.37378258,-0.68815076,1.0457579,-0.54914165,5.5367713,1.2499079,0.0,0.017578125,0.026550945,1.811487e-06,0.78394574,0.68415695,0.47385865,0.6917856,9.632035e-05,0.0054083206,-0.34875587,-0.38415986,-0.67827326,0.0035032851696014406,19.195360898971558,3000
1.1460037,0.0,0.00390625,0.034177855,0.00015458387,0.7947604,0.7096364,0.51222193,0.69930106,0.00010737733,0.007097532,-0.3823191,-0.3471826,-0.66073835,1.6722202,-1.8642125,10.210196,1.0957651,0.0,0.029296875,0.030072242,0.00016858063,0.7893888,0.683733,0.5098673,0.6870798,0.000100947844,0.006283977,-0.39179248,-0.38555378,-0.68332946,0.0036899020671844482,22.885274171829224,4000
1.2043751,0.0,0.01953125,0.02675002,0.0001651065,0.8065318,0.69870013,0.5004964,0.7009586,5.297417e-05,0.005568085,-0.3582175,-0.36375275,-0.6539538,0.760659,-2.0758536,8.146716,1.0295296,0.0,0.01953125,0.029580813,0.00027024877,0.8065274,0.68752646,0.49370667,0.6919417,0.00023066466,0.0064170766,-0.36033964,-0.38067633,-0.6705833,0.004038845539093018,26.924142837524414,5000
1.0476038,0.0,0.013671875,0.028618317,4.256492e-06,0.80572814,0.68955123,0.45273563,0.696349,0.0001385624,0.005866483,-0.35865134,-0.37797657,-0.66265255,3.5508924,-3.1461387,25.163057,1.1210145,0.0,0.015625,0.032105703,0.00016236723,0.8069336,0.68265814,0.48041293,0.68498576,0.0001539618,0.0067374697,-0.37879002,-0.38865098,-0.68691266,0.22838525104522706,255.3094162940979,6000
1.0713158,0.0,0.01171875,0.034411423,0.00012551079,0.8132229,0.70682496,0.5033872,0.702244,0.0002049666,0.007212762,-0.38353452,-0.35104704,-0.65291125,3.5616865,-2.5524468,13.460902,1.0725514,0.0,0.02734375,0.03142098,0.00032306626,0.8075594,0.69902027,0.5050049,0.69863987,0.00023706647,0.0068443287,-0.37756288,-0.36331642,-0.655831,0.0038952016830444336,259.2046329975128,7000
0.9822736,0.0,0.025390625,0.029859351,8.656627e-07,0.79382235,0.69267786,0.46811867,0.6990067,0.00011294677,0.0060856827,-0.36920723,-0.37254387,-0.657174,1.0623729,-1.1367142,7.0320663,1.1342466,0.0,0.033203125,0.034120794,0.0001542032,0.81191796,0.68873143,0.5021048,0.69519943,0.00017971429,0.0071580764,-0.3660221,-0.3783449,-0.6601645,0.003497647523880005,262.7022922039032,8000
0.9006417,0.0,0.01171875,0.030207168,0.00013465672,0.8373745,0.72158563,0.54593545,0.7044297,0.00033086003,0.0065069506,-0.37143096,-0.3306412,-0.6431593,2.1297712,-2.3824723,11.791933,1.0188528,0.0,0.0078125,0.03199064,9.089796e-07,0.815611,0.6940992,0.50268424,0.6880981,0.00019983272,0.0065988693,-0.3810646,-0.37199068,-0.6756289,0.0035269486904144286,266.22925424575806,9000
1.0935712,0.0,0.021484375,0.028739784,7.607945e-07,0.8273047,0.70297325,0.48767325,0.7076235,7.8242745e-05,0.0058269603,-0.3908897,-0.35774213,-0.6429608,1.6429185,-2.8559687,13.484956,1.0194433,0.0,0.01953125,0.034523252,4.662503e-06,0.8012452,0.6906774,0.47617558,0.69946826,0.0001755798,0.007084893,-0.3632434,-0.37550545,-0.66273594,0.0032605059146881103,269.48978090286255,10000
