action_bin_levels,action_gain,action_mode,action_scale,action_smoothing,action_threshold,cell_size,env,gamma,iters,method,n_edges,n_states,overall_success,polish_iters,proximity_weight,seed,task1_success,task2_success,task3_success,task4_success,task5_success,transition_candidates,transition_k
3,1.0,persistent_waypoint,0.2,0.0,0.25,0.75,pointmaze-teleport-navigate-v0,0.995,11,bellman_matched,6591,899,0.24,0,0.02,0,0.0,0.0,0.6,0.6,0.0,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,0.75,pointmaze-teleport-navigate-v0,0.995,11,bellman_matched,6591,899,0.24,0,0.02,1,0.0,0.0,0.6,0.6,0.0,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,0.75,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,6591,899,0.24,0,0.02,0,0.0,0.2,0.2,0.6,0.2,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,0.75,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,6591,899,0.28,0,0.02,1,0.0,0.2,0.4,0.6,0.2,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,0.75,pointmaze-teleport-navigate-v0,0.995,220,bellman_full,6591,899,0.31999999999999995,0,0.02,0,0.0,0.2,0.6,0.6,0.2,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,0.75,pointmaze-teleport-navigate-v0,0.995,220,bellman_full,6591,899,0.28,0,0.02,1,0.0,0.2,0.4,0.6,0.2,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_matched,4197,554,0.27999999999999997,0,0.02,0,0.0,0.0,0.6,0.6,0.2,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_matched,4197,554,0.27999999999999997,0,0.02,1,0.0,0.0,0.6,0.6,0.2,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,220,bellman_full,4197,554,0.56,0,0.02,0,0.6,0.4,0.6,0.6,0.6,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,220,bellman_full,4197,554,0.56,0,0.02,1,0.6,0.4,0.6,0.6,0.6,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.25,pointmaze-teleport-navigate-v0,0.995,10,bellman_matched,2903,392,0.2,0,0.02,0,0.0,0.0,0.4,0.6,0.0,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.25,pointmaze-teleport-navigate-v0,0.995,10,bellman_matched,2903,392,0.16,0,0.02,1,0.0,0.0,0.2,0.6,0.0,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.25,pointmaze-teleport-navigate-v0,0.995,10,sto_trl_matched,2903,392,0.31999999999999995,0,0.02,0,0.0,0.4,0.4,0.6,0.2,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.25,pointmaze-teleport-navigate-v0,0.995,10,sto_trl_matched,2903,392,0.28,0,0.02,1,0.0,0.4,0.2,0.6,0.2,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.25,pointmaze-teleport-navigate-v0,0.995,220,bellman_full,2903,392,0.24,0,0.02,0,0.0,0.0,0.4,0.6,0.2,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.25,pointmaze-teleport-navigate-v0,0.995,220,bellman_full,2903,392,0.2,0,0.02,1,0.0,0.0,0.2,0.6,0.2,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.5,pointmaze-teleport-navigate-v0,0.995,10,bellman_matched,2250,311,0.04,0,0.02,0,0.0,0.0,0.2,0.0,0.0,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.5,pointmaze-teleport-navigate-v0,0.995,10,bellman_matched,2250,311,0.04,0,0.02,1,0.0,0.0,0.2,0.0,0.0,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.5,pointmaze-teleport-navigate-v0,0.995,10,sto_trl_matched,2250,311,0.2,0,0.02,0,0.0,0.0,0.4,0.6,0.0,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.5,pointmaze-teleport-navigate-v0,0.995,10,sto_trl_matched,2250,311,0.16,0,0.02,1,0.0,0.0,0.2,0.6,0.0,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.5,pointmaze-teleport-navigate-v0,0.995,220,bellman_full,2250,311,0.24,0,0.02,0,0.0,0.0,0.4,0.6,0.2,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.5,pointmaze-teleport-navigate-v0,0.995,220,bellman_full,2250,311,0.24000000000000005,0,0.02,1,0.0,0.0,0.2,0.6,0.4,256,5
