action_scale,env,episodes_per_task,eval_mode,eval_seconds,full_iters,gamma,iters,max_episode_steps,method,model_max_steps,model_rollout_mode,n_actions,n_states,overall_success,seed,task1_length,task1_success,task2_length,task2_success,task3_length,task3_success,task4_length,task4_success,task5_length,task5_success,task_ids,topology_source,transition_ce,transition_fallback_rows,transition_fitted_rows,transition_hidden_dims,transition_kl,transition_l1,transition_lr,transition_max_abs,transition_mlp_lr,transition_model,transition_oracle_kl,transition_oracle_l1,transition_oracle_max_abs,transition_oracle_top1,transition_samples_per_row,transition_seed,transition_steps,transition_target_source,transition_top1,transition_train_seconds,value_action_agreement,value_hidden_dims,value_loss,value_max_abs,value_mlp_lr,value_model,value_mse,value_policy_ce_weight,value_seed,value_steps,value_tie_tol,value_train_seconds
0.2,pointmaze-teleport-stitch-v0,20,env,3.9980377319734544,180,0.995,6,,bellman_matched,,,4,45,0.53,0,531.9,0.55,465.5,0.6,520.45,0.5,621.35,0.4,505.1,0.6,all,dataset,0.07819055710695469,82,98,"128,128",0.00046793073733809865,0.007263472724417972,0.3,0.06092726320109065,0.003,raw_obs_mlp,0.24934858332598409,0.05177454499993649,0.999959637860867,0.9555555555555556,50,0,2000,dataset_cell_changes,0.9591836734693877,1.1877526490134187,0.9966666666666667,"256,256",0.006743656517452415,0.8704266846179962,0.003,raw_obs_prev_policy_mlp,0.006743656517452415,0.0,0,1000,1e-09,16.740542821004055
0.2,pointmaze-teleport-stitch-v0,20,env,2.660647092969157,180,0.995,6,,sto_trl_matched,,,4,45,0.9800000000000001,0,402.45,0.9,245.65,1.0,236.2,1.0,407.05,1.0,427.2,1.0,all,dataset,0.07819055710695469,82,98,"128,128",0.00046793073733809865,0.007263472724417972,0.3,0.06092726320109065,0.003,raw_obs_mlp,0.24934858332598409,0.05177454499993649,0.999959637860867,0.9555555555555556,50,0,2000,dataset_cell_changes,0.9591836734693877,1.1877526490134187,1.0,"256,256",0.004170766614490856,0.75,0.003,raw_obs_prev_policy_mlp,0.004170766614490856,0.0,0,1000,1e-09,17.068020058970433
0.2,pointmaze-teleport-stitch-v0,20,env,2.7146658289711922,180,0.995,180,,bellman_full,,,4,45,0.9800000000000001,0,420.45,0.9,245.65,1.0,236.2,1.0,407.05,1.0,427.2,1.0,all,dataset,0.07819055710695469,82,98,"128,128",0.00046793073733809865,0.007263472724417972,0.3,0.06092726320109065,0.003,raw_obs_mlp,0.24934858332598409,0.05177454499993649,0.999959637860867,0.9555555555555556,50,0,2000,dataset_cell_changes,0.9591836734693877,1.1877526490134187,1.0,"256,256",0.004169334358942011,0.75,0.003,raw_obs_prev_policy_mlp,0.004169334358942011,0.0,0,1000,1e-09,16.99287517403718
