action_agreement_to_full,action_agreement_to_target,buffered_final_steps,distill_steps,env,episodes_per_task,eval_mode,eval_seconds,family,feature_mode,final_loss,full_iters,gamma,iters,max_episode_steps,method,model_max_steps,model_rollout_mode,n_actions,n_states,operator_iters,overall_success,profile_action_ms_per_step,profile_action_seconds,profile_env_step_ms,profile_env_step_seconds,profile_env_steps,profile_reset_seconds,rank_ce_weight,seed,steps_per_iter,target_buffer_monotone,task1_length,task1_success,task2_length,task2_success,task3_length,task3_success,task4_length,task4_success,task5_length,task5_success,task_ids,train_seconds,transition_l1,transition_model,transition_oracle_l1,transition_oracle_top1,transition_seed,transition_steps,transition_target_source,transition_top1,value_hidden_dims,value_max_abs_to_full,value_max_abs_to_target,value_mse_to_full,value_mse_to_target,value_seed,warmup_steps
0.5318181818181819,0.6050505050505051,0,5000,pointmaze-teleport-navigate-v0,10,env,3.614683819003403,qhead,raw_obs_onehot,0.002896844642236829,180,0.995,6,,qhead_bellman_td,,,4,45,6,0.0,0.008405148716410621,0.4202574358205311,0.06263719567563385,3.1318597837816924,50000.0,0.04142617480829358,0.05,0,350,,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,all,10.987230246013496,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.9606917847441167,0.9893038251003627,0.5174507396549752,0.018531014913047268,0,600
0.9661616161616161,0.9777777777777777,0,5000,pointmaze-teleport-navigate-v0,10,env,1.252869636984542,qhead,raw_obs_onehot,0.0036799460649490356,180,0.995,6,,qhead_sto_trl_target_fit,,,4,45,6,0.9800000000000001,0.00812502492012611,0.13940105255460367,0.06172691210220133,1.0590486309374683,17157.0,0.04595062101725489,0.05,0,350,,401.3,0.9,246.8,1.0,235.2,1.0,406.5,1.0,425.9,1.0,all,20.31610311497934,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",1.0,1.0,0.0083054422349899,0.007575874314697318,0,600
0.7388888888888889,1.0,0,5000,pointmaze-teleport-navigate-v0,10,env,1.8990951660089195,table,raw_obs_onehot,0.0,180,0.995,6,,table_bellman_matched,,,4,45,0,0.52,0.007934235021303193,0.21084436145611107,0.06146436284197454,1.6333539781626314,26574.0,0.043931775377132,0.05,0,350,,562.0,0.5,553.5,0.5,420.8,0.6,622.1,0.4,499.0,0.6,all,0.0,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.9606414479107472,0.0,0.46555916597048624,0.0,0,600
0.9883838383838384,1.0,0,5000,pointmaze-teleport-navigate-v0,10,env,1.2719749609823339,table,raw_obs_onehot,0.0,180,0.995,6,,table_sto_trl_matched,,,4,45,0,0.9800000000000001,0.008425546377997577,0.14455709920730442,0.06268416106515903,1.0754721513949335,17157.0,0.04360845126211643,0.05,0,350,,401.3,0.9,246.8,1.0,235.2,1.0,406.5,1.0,425.9,1.0,all,0.0,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.2726478374829411,0.0,0.001317458230128957,0.0,0,600
1.0,1.0,0,5000,pointmaze-teleport-navigate-v0,10,env,1.2874986579990946,table,raw_obs_onehot,0.0,180,0.995,180,,table_full_bellman,,,4,45,0,0.9800000000000001,0.00847938521024659,0.14700710139004514,0.06289546766048229,1.0904187228297815,17337.0,0.04160847910679877,0.05,0,350,,419.3,0.9,246.8,1.0,235.2,1.0,406.5,1.0,425.9,1.0,all,0.0,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.0,0.0,0.0,0.0,0,600
0.5318181818181819,0.6050505050505051,0,5000,pointmaze-teleport-navigate-v0,10,env,3.6031104419962503,qhead,raw_obs_onehot,0.002896844642236829,180,0.995,6,,qhead_bellman_td,,,4,45,6,0.0,0.008302042922005058,0.41510214610025287,0.06250507813645527,3.1252539068227634,50000.0,0.04335162421921268,0.05,1,350,,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,all,10.987230246013496,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.9606917847441167,0.9893038251003627,0.5174507396549752,0.018531014913047268,0,600
0.9661616161616161,0.9777777777777777,0,5000,pointmaze-teleport-navigate-v0,10,env,1.5488880249904469,qhead,raw_obs_onehot,0.0036799460649490356,180,0.995,6,,qhead_sto_trl_target_fit,,,4,45,6,0.8800000000000001,0.008619741785906276,0.17794594942824915,0.06374912155902014,1.3160368654644117,20644.0,0.0443828611751087,0.05,1,350,,401.9,0.9,322.4,0.9,387.9,0.8,524.5,0.8,427.7,1.0,all,20.31610311497934,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",1.0,1.0,0.0083054422349899,0.007575874314697318,0,600
0.7388888888888889,1.0,0,5000,pointmaze-teleport-navigate-v0,10,env,2.6852063279948197,table,raw_obs_onehot,0.0,180,0.995,6,,table_bellman_matched,,,4,45,0,0.2800000000000001,0.008247228870969547,0.3058072465355508,0.06260081458724523,2.321238204895053,37080.0,0.0434814469772391,0.05,1,350,,638.5,0.4,646.7,0.4,614.9,0.4,905.1,0.1,902.8,0.1,all,0.0,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.9606414479107472,0.0,0.46555916597048624,0.0,0,600
0.9883838383838384,1.0,0,5000,pointmaze-teleport-navigate-v0,10,env,1.521208522026427,table,raw_obs_onehot,0.0,180,0.995,6,,table_sto_trl_matched,,,4,45,0,0.8800000000000001,0.008338695160174448,0.17214402288664132,0.062486388978012036,1.2899690140620805,20644.0,0.04914632911095396,0.05,1,350,,401.9,0.9,322.4,0.9,387.9,0.8,524.5,0.8,427.7,1.0,all,0.0,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.2726478374829411,0.0,0.001317458230128957,0.0,0,600
1.0,1.0,0,5000,pointmaze-teleport-navigate-v0,10,env,1.6214571090531535,table,raw_obs_onehot,0.0,180,0.995,180,,table_full_bellman,,,4,45,0,0.8800000000000001,0.009103257162013434,0.18956622714176774,0.0659112559735315,1.3725359943928197,20824.0,0.04921914002625272,0.05,1,350,,419.9,0.9,322.4,0.9,387.9,0.8,524.5,0.8,427.7,1.0,all,0.0,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.0,0.0,0.0,0.0,0,600
