action_bin_levels,action_gain,action_mode,action_scale,action_smoothing,action_threshold,cell_size,env,episodes_per_task,gamma,iters,method,n_edges,n_states,overall_success,polish_iters,proximity_weight,seed,task4_success,task_ids,transition_candidates,transition_k
3,1.0,mean,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.1,0,0.02,0,0.1,4,256,5
3,1.0,mean,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,1,0.0,4,256,5
3,1.0,mean,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.1,0,0.02,2,0.1,4,256,5
3,1.0,center_delta,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,0,0.0,4,256,5
3,1.0,center_delta,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,1,0.0,4,256,5
3,1.0,center_delta,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,2,0.0,4,256,5
3,1.0,hybrid,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,0,0.0,4,256,5
3,1.0,hybrid,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,1,0.0,4,256,5
3,1.0,hybrid,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,2,0.0,4,256,5
3,1.0,nearest_transition,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,0,0.0,4,256,5
3,1.0,nearest_transition,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,1,0.0,4,256,5
3,1.0,nearest_transition,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,2,0.0,4,256,5
3,1.0,knn_transition,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.05,0,0.02,0,0.05,4,256,5
3,1.0,knn_transition,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,1,0.0,4,256,5
3,1.0,knn_transition,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,2,0.0,4,256,5
3,1.0,transition_value,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.2,0,0.02,0,0.2,4,256,5
3,1.0,transition_value,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.1,0,0.02,1,0.1,4,256,5
3,1.0,transition_value,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.1,0,0.02,2,0.1,4,256,5
3,1.0,transition_value_knn,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,0,0.0,4,256,5
3,1.0,transition_value_knn,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,1,0.0,4,256,5
3,1.0,transition_value_knn,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,2,0.0,4,256,5
3,1.0,q_transition,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,0,0.0,4,256,5
3,1.0,q_transition,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,1,0.0,4,256,5
3,1.0,q_transition,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,2,0.0,4,256,5
3,1.0,q_transition_knn,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,0,0.0,4,256,5
3,1.0,q_transition_knn,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,1,0.0,4,256,5
3,1.0,q_transition_knn,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,2,0.0,4,256,5
3,1.0,value_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,0,0.0,4,256,5
3,1.0,value_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,1,0.0,4,256,5
3,1.0,value_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,2,0.0,4,256,5
3,1.0,value_waypoint_hybrid,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,0,0.0,4,256,5
3,1.0,value_waypoint_hybrid,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,1,0.0,4,256,5
3,1.0,value_waypoint_hybrid,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,2,0.0,4,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,0,0.0,4,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,1,0.0,4,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,2,0.0,4,256,5
3,1.0,persistent_waypoint_blend25,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,0,0.0,4,256,5
3,1.0,persistent_waypoint_blend25,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,1,0.0,4,256,5
3,1.0,persistent_waypoint_blend25,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,2,0.0,4,256,5
3,1.0,persistent_waypoint_blend50,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,0,0.0,4,256,5
3,1.0,persistent_waypoint_blend50,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,1,0.0,4,256,5
3,1.0,persistent_waypoint_blend50,0.2,0.0,0.25,1.0,pointmaze-teleport-stitch-v0,20,0.995,220,bellman_full,4598,565,0.0,0,0.02,2,0.0,4,256,5
