action_bin_levels,action_mode,action_scale,action_threshold,cell_size,env,gamma,iters,method,n_edges,n_states,overall_success,polish_iters,seed,task1_success,task2_success,task3_success,task4_success,task5_success
3,mean,0.2,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_polished,4197,554,0.34,80,0,0.1,0.6,0.5,0.4,0.1
3,mean,0.2,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_polished,4197,554,0.36,80,0,0.3,0.3,0.5,0.5,0.2
