action_bin_levels,action_gain,action_mode,action_scale,action_smoothing,action_threshold,cell_size,env,gamma,iters,method,n_edges,n_states,overall_success,polish_iters,proximity_weight,seed,task1_success,task2_success,task3_success,task4_success,task5_success,transition_candidates,transition_k
3,0.8,persistent_waypoint,0.12,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,0.8,persistent_waypoint,0.12,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
3,0.8,persistent_waypoint,0.12,0.25,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,0.8,persistent_waypoint,0.12,0.25,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
3,1.0,persistent_waypoint,0.12,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,1.0,persistent_waypoint,0.12,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
3,1.0,persistent_waypoint,0.12,0.25,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,1.0,persistent_waypoint,0.12,0.25,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
3,1.2,persistent_waypoint,0.12,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,1.2,persistent_waypoint,0.12,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
3,1.2,persistent_waypoint,0.12,0.25,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,1.2,persistent_waypoint,0.12,0.25,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
3,0.8,persistent_waypoint,0.16,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,0.8,persistent_waypoint,0.16,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
3,0.8,persistent_waypoint,0.16,0.25,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,0.8,persistent_waypoint,0.16,0.25,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
3,1.0,persistent_waypoint,0.16,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,1.0,persistent_waypoint,0.16,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
3,1.0,persistent_waypoint,0.16,0.25,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,1.0,persistent_waypoint,0.16,0.25,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
3,1.2,persistent_waypoint,0.16,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,1.2,persistent_waypoint,0.16,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
3,1.2,persistent_waypoint,0.16,0.25,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,1.2,persistent_waypoint,0.16,0.25,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
3,0.8,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,0.8,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
3,0.8,persistent_waypoint,0.2,0.25,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,0,0.6,0.2,0.6,0.6,0.6,256,5
3,0.8,persistent_waypoint,0.2,0.25,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.52,0,0.02,1,0.6,0.2,0.6,0.6,0.6,256,5
