action_scale,env,episodes_per_task,eval_mode,eval_seconds,full_iters,gamma,iters,max_episode_steps,method,model_max_steps,model_rollout_mode,n_actions,n_states,overall_success,seed,task1_length,task1_success,task2_length,task2_success,task3_length,task3_success,task4_length,task4_success,task5_length,task5_success,task_ids,topology_source,transition_ce,transition_fallback_rows,transition_fitted_rows,transition_hidden_dims,transition_kl,transition_l1,transition_lr,transition_max_abs,transition_mlp_lr,transition_model,transition_oracle_kl,transition_oracle_l1,transition_oracle_max_abs,transition_oracle_top1,transition_samples_per_row,transition_seed,transition_steps,transition_target_source,transition_top1,transition_train_seconds,value_action_agreement,value_hidden_dims,value_loss,value_max_abs,value_mlp_lr,value_model,value_mse,value_policy_ce_weight,value_seed,value_steps,value_tie_tol,value_train_seconds
0.2,pointmaze-teleport-stitch-v0,1,model,10.11434690799797,180,0.995,6,,sto_trl_matched,1000,exact,4,45,0.9999691838015217,0,23.043358874371066,0.999958044332217,15.00678181344115,0.9999940560581921,14.001352154552722,0.999999673052816,25.061739883551127,0.9999364194956799,27.04226832201219,0.9999577260687034,all,dataset,0.07819055710695469,82,98,"128,128",0.00046793073733809865,0.007263472724417972,0.3,0.06092726320109065,0.003,raw_obs_mlp,0.24934858332598409,0.05177454499993649,0.999959637860867,0.9555555555555556,50,0,2000,dataset_cell_changes,0.9591836734693877,1.0821069180383347,1.0,"256,256",0.004170766614490856,0.75,0.003,raw_obs_prev_policy_mlp,0.004170766614490856,0.0,0,1000,1e-09,14.817282720003277
0.2,pointmaze-teleport-stitch-v0,1,model,10.426414743997157,180,0.995,180,,bellman_full,1000,exact,4,45,0.9999691578783928,0,23.043430549346322,0.9999579147170142,15.006781813160144,0.9999940560581903,14.001352154552702,0.9999996730528162,25.061739883271798,0.9999364194956779,27.042268322251317,0.9999577260682655,all,dataset,0.07819055710695469,82,98,"128,128",0.00046793073733809865,0.007263472724417972,0.3,0.06092726320109065,0.003,raw_obs_mlp,0.24934858332598409,0.05177454499993649,0.999959637860867,0.9555555555555556,50,0,2000,dataset_cell_changes,0.9591836734693877,1.0821069180383347,1.0,"256,256",0.004169334358942011,0.75,0.003,raw_obs_prev_policy_mlp,0.004169334358942011,0.0,0,1000,1e-09,15.204117184970528
