action_scale,env,episodes_per_task,gamma,iters,method,n_actions,n_states,overall_success,seed,task1_success,task2_success,task3_success,task4_success,task5_success,task_ids
0.2,pointmaze-teleport-navigate-v0,1,0.995,6,bellman_matched,4,45,0.2,0,0.0,0.0,1.0,0.0,0.0,all
0.2,pointmaze-teleport-navigate-v0,1,0.995,6,sto_trl_matched,4,45,1.0,0,1.0,1.0,1.0,1.0,1.0,all
0.2,pointmaze-teleport-navigate-v0,1,0.995,180,bellman_full,4,45,1.0,0,1.0,1.0,1.0,1.0,1.0,all
