advance_distance,bc_batch_size,bc_hidden_dims,bc_layer_norm,bc_lr,bc_max_future,bc_min_future,bc_rel_scale,bc_seed,bc_steps,env,env_load_seconds,episodes_per_task,eval_action_repeat,eval_seconds,full_iters,gamma,goal_candidate_mode,goal_candidates_per_state,goal_index_cache_hit,goal_index_seconds,goal_representation,iters,max_episode_steps,method,min_jump_count,n_actions,n_states,overall_success,path_mode,policy_eval_backend,policy_seconds,profile_action_ms_per_call,profile_action_seconds,profile_env_step_ms,profile_env_step_seconds,profile_env_steps,profile_policy_calls,profile_reset_seconds,seed,setup_seconds,task4_final_dist,task4_final_x,task4_final_y,task4_length,task4_success,task5_final_dist,task5_final_x,task5_final_y,task5_length,task5_success,task_ids,topology_cache_hit,topology_seconds,transition_ce,transition_hidden_dims,transition_kl,transition_l1,transition_lr,transition_max_abs,transition_mlp_lr,transition_model,transition_oracle_kl,transition_oracle_l1,transition_oracle_max_abs,transition_oracle_top1,transition_samples_per_row,transition_seconds,transition_seed,transition_steps,transition_target_source,transition_top1,value_action_agreement,value_hidden_dims,value_loss,value_max_abs,value_mlp_lr,value_model,value_mse,value_seconds,value_seed,value_steps,value_tie_tol,value_train_seconds,waypoint_lookahead
1.5,2048,"256,256,256",1,0.0003,30,1,12.614615440368652,0,20000,antmaze-teleport-stitch-v0,0.9087261370150372,10,1,10.60275407298468,180,0.995,body_nearest,16,1,0.0001473499578423798,full,6,,bellman_matched,20,4,45,0.30000000000000004,greedy,jax,0.09884323395090178,0.36717483003782714,5.3490029239910655,0.3554929217882979,5.178820884611923,14568.0,14568.0,0.04234993987483904,0,39.49003057304071,16.377589512368893,28.471270044775594,9.45003576135844,643.6,0.4,28.06876532896452,24.91964955707872,16.964535768971377,813.2,0.2,"4,5",1,0.00014570500934496522,0.8955533581432913,"128,128",1.408744076625279e-05,0.0016515661051548884,0.3,0.0012860582785659824,0.003,raw_obs_mlp,6.257441832469013e-07,7.340300850053813e-05,0.0012860378732958977,1.0,20,6.884257028985303,2,1000,dataset_jump_changes,1.0,0.9878787878787879,"256,256",0.6810684651466583,1.0,0.003,raw_obs_tie_policy_mlp,0.6810684651466583,31.597641320026014,0,2000,1e-09,7.995903434988577,1
1.5,2048,"256,256,256",1,0.0003,30,1,12.614615440368652,0,20000,antmaze-teleport-stitch-v0,0.9087261370150372,10,1,9.23841206805082,180,0.995,body_nearest,16,1,0.0001473499578423798,full,6,,sto_trl_matched,20,4,45,1.0,greedy,jax,0.09884323395090178,0.3488971887171172,4.674873431620654,0.3358048208595377,4.499448794696946,13399.0,13399.0,0.04069817397976294,0,39.49003057304071,0.4214891152775075,36.186836763548996,23.591109732807514,624.9,1.0,0.40744669585891036,-0.022322293201610603,24.356167202416493,715.0,1.0,"4,5",1,0.00014570500934496522,0.8955533581432913,"128,128",1.408744076625279e-05,0.0016515661051548884,0.3,0.0012860582785659824,0.003,raw_obs_mlp,6.257441832469013e-07,7.340300850053813e-05,0.0012860378732958977,1.0,20,6.884257028985303,2,1000,dataset_jump_changes,1.0,0.9994949494949495,"256,256",0.6334004643379907,1.0,0.003,raw_obs_tie_policy_mlp,0.6334004643379907,31.597641320026014,0,2000,1e-09,7.70482413796708,1
1.5,2048,"256,256,256",1,0.0003,30,1,12.614615440368652,0,20000,antmaze-teleport-stitch-v0,0.9087261370150372,10,1,9.259625889011659,180,0.995,body_nearest,16,1,0.0001473499578423798,full,180,,bellman_full,20,4,45,1.0,greedy,jax,0.09884323395090178,0.34811230760407996,4.687332221888937,0.33493681665633745,4.509924236277584,13465.0,13465.0,0.03970647696405649,0,39.49003057304071,0.469839667905957,36.13712796540508,23.636780300993173,630.4,1.0,0.40945164342685514,0.17045563604874375,24.461499529113322,716.1,1.0,"4,5",1,0.00014570500934496522,0.8955533581432913,"128,128",1.408744076625279e-05,0.0016515661051548884,0.3,0.0012860582785659824,0.003,raw_obs_mlp,6.257441832469013e-07,7.340300850053813e-05,0.0012860378732958977,1.0,20,6.884257028985303,2,1000,dataset_jump_changes,1.0,0.9994949494949495,"256,256",0.6388490091525396,1.0,0.003,raw_obs_tie_policy_mlp,0.6388490091525396,31.597641320026014,0,2000,1e-09,8.148589631018694,1
