advance_distance,bc_batch_size,bc_hidden_dims,bc_layer_norm,bc_lr,bc_max_future,bc_min_future,bc_rel_scale,bc_seed,bc_steps,env,env_load_seconds,episodes_per_task,eval_action_repeat,eval_seconds,full_iters,gamma,goal_candidate_mode,goal_candidates_per_state,goal_index_cache_hit,goal_index_seconds,goal_representation,iters,max_episode_steps,method,min_jump_count,n_actions,n_states,overall_success,path_mode,policy_eval_backend,policy_seconds,seed,setup_seconds,task4_final_dist,task4_final_x,task4_final_y,task4_length,task4_success,task5_final_dist,task5_final_x,task5_final_y,task5_length,task5_success,task_ids,topology_cache_hit,topology_seconds,transition_ce,transition_hidden_dims,transition_kl,transition_l1,transition_lr,transition_max_abs,transition_mlp_lr,transition_model,transition_oracle_kl,transition_oracle_l1,transition_oracle_max_abs,transition_oracle_top1,transition_samples_per_row,transition_seconds,transition_seed,transition_steps,transition_target_source,transition_top1,value_action_agreement,value_hidden_dims,value_loss,value_max_abs,value_mlp_lr,value_model,value_mse,value_seconds,value_seed,value_steps,value_tie_tol,value_train_seconds,waypoint_lookahead
1.5,2048,"256,256,256",1,0.0003,30,1,12.614615440368652,0,20000,antmaze-teleport-stitch-v0,0.9192591690225527,5,1,3.563985688961111,180,0.995,body_nearest,16,1,0.00015038205310702324,full,6,,bellman_matched,20,4,45,0.6,greedy,jax,0.09065296105109155,0,174.08422954304842,11.01492579362266,31.10444888762956,14.330924021670418,463.4,0.6,13.751672960470103,9.170050670450607,14.39650030952449,514.0,0.6,"4,5",1,0.0003169639967381954,,"128,128",,,0.3,,0.003,topology,,,,,20,1.934997271746397e-06,0,1000,topology_samples,,1.0,"256,256",0.00416667734827527,0.75,0.003,raw_obs_prev_policy_mlp,0.00416667734827527,173.0734477119986,0,2000,1e-09,52.9626281769597,1
1.5,2048,"256,256,256",1,0.0003,30,1,12.614615440368652,0,20000,antmaze-teleport-stitch-v0,0.9192591690225527,5,1,4.75456860801205,180,0.995,body_nearest,16,1,0.00015038205310702324,full,6,,sto_trl_matched,20,4,45,1.0,greedy,jax,0.09065296105109155,0,174.08422954304842,0.4164084476836029,36.21430147592154,23.602721306470762,613.2,1.0,0.4400045968422243,-0.4340054073523573,24.28255062250485,701.8,1.0,"4,5",1,0.0003169639967381954,,"128,128",,,0.3,,0.003,topology,,,,,20,1.934997271746397e-06,0,1000,topology_samples,,1.0,"256,256",0.004166668289239408,0.75,0.003,raw_obs_prev_policy_mlp,0.004166668289239408,173.0734477119986,0,2000,1e-09,58.221814221004024,1
1.5,2048,"256,256,256",1,0.0003,30,1,12.614615440368652,0,20000,antmaze-teleport-stitch-v0,0.9192591690225527,5,1,4.83047746802913,180,0.995,body_nearest,16,1,0.00015038205310702324,full,180,,bellman_full,20,4,45,1.0,greedy,jax,0.09065296105109155,0,174.08422954304842,0.39806659402450784,36.18232555170003,23.57803112656017,613.4,1.0,0.4722783786476577,-0.2531487594389379,24.241850813726284,702.6,1.0,"4,5",1,0.0003169639967381954,,"128,128",,,0.3,,0.003,topology,,,,,20,1.934997271746397e-06,0,1000,topology_samples,,1.0,"256,256",0.004166668341798172,0.75,0.003,raw_obs_prev_policy_mlp,0.004166668341798172,173.0734477119986,0,2000,1e-09,54.197443404002115,1
