action_threshold,cell_size,env,gamma,iters,method,n_edges,n_states,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
0.25,1.0,pointmaze-teleport-navigate-v0,0.98,11,bellman_matched,4197,554,0.27999999999999997,0.0,0.0,0.6,0.6,0.2
0.25,1.0,pointmaze-teleport-navigate-v0,0.98,11,sto_trl_matched,4197,554,0.36000000000000004,0.2,0.2,0.8,0.2,0.4
0.25,1.0,pointmaze-teleport-navigate-v0,0.98,160,bellman_full,4197,554,0.43999999999999995,0.6,0.2,0.6,0.4,0.4
