advance_distance,bc_batch_size,bc_hidden_dims,bc_layer_norm,bc_lr,bc_max_future,bc_min_future,bc_rel_scale,bc_seed,bc_steps,env,env_load_seconds,episodes_per_task,eval_action_repeat,eval_seconds,full_iters,gamma,goal_candidate_mode,goal_candidates_per_state,goal_index_cache_hit,goal_index_seconds,goal_representation,iters,max_episode_steps,method,min_jump_count,n_actions,n_states,overall_success,path_mode,policy_eval_backend,policy_seconds,seed,setup_seconds,task1_final_dist,task1_final_x,task1_final_y,task1_length,task1_success,task2_final_dist,task2_final_x,task2_final_y,task2_length,task2_success,task3_final_dist,task3_final_x,task3_final_y,task3_length,task3_success,task4_final_dist,task4_final_x,task4_final_y,task4_length,task4_success,task5_final_dist,task5_final_x,task5_final_y,task5_length,task5_success,task_ids,topology_cache_hit,topology_seconds,transition_ce,transition_hidden_dims,transition_kl,transition_l1,transition_lr,transition_max_abs,transition_mlp_lr,transition_model,transition_oracle_kl,transition_oracle_l1,transition_oracle_max_abs,transition_oracle_top1,transition_samples_per_row,transition_seconds,transition_seed,transition_steps,transition_target_source,transition_top1,value_seconds,waypoint_lookahead
1.5,2048,"256,256,256",1,0.0003,30,1,8.410079956054688,0,5000,pointmaze-teleport-navigate-v0,0.1837541590211913,20,1,25.89358973299386,180,0.995,body_nearest,16,1,0.00016481801867485046,full,6,,bellman_matched,20,4,45,0.31,greedy,jax,0.14706897403812036,1,0.37319989496609196,43.1493156427456,36.012259099785055,-0.022952169911248876,1000.0,0.0,12.53620949796245,30.698640149019774,12.732326249405741,547.65,0.55,16.415108105573463,28.827216565679738,9.225962484022602,617.9,0.4,17.753633337447017,28.199244819588056,8.037109283730388,675.85,0.35,25.817536039639712,18.557103067174467,6.949092541955179,768.05,0.25,all,1,0.00020398799097165465,,"128,128",,,0.3,,0.003,topology,,,,,20,1.6129924915730953e-06,0,1000,topology_samples,,0.04172324005048722,1
1.5,2048,"256,256,256",1,0.0003,30,1,8.410079956054688,0,5000,pointmaze-teleport-navigate-v0,0.1837541590211913,20,1,16.56200399401132,180,0.995,body_nearest,16,1,0.00016481801867485046,full,6,,sto_trl_matched,20,4,45,1.0,greedy,jax,0.14706897403812036,1,0.37319989496609196,0.9420291152717055,0.9804142708061875,24.313860835126132,526.8,1.0,0.9513681750270013,36.159289540054296,23.047337424441018,357.45,1.0,0.9498830353939052,36.0596594728036,23.01967931555216,315.1,1.0,0.935719424167422,36.06308489139196,23.006379756221033,579.75,1.0,0.9461477060341632,0.8567058558220644,24.424547347995933,592.6,1.0,all,1,0.00020398799097165465,,"128,128",,,0.3,,0.003,topology,,,,,20,1.6129924915730953e-06,0,1000,topology_samples,,0.04172324005048722,1
1.5,2048,"256,256,256",1,0.0003,30,1,8.410079956054688,0,5000,pointmaze-teleport-navigate-v0,0.1837541590211913,20,1,16.742831679002848,180,0.995,body_nearest,16,1,0.00016481801867485046,full,180,,bellman_full,20,4,45,1.0,greedy,jax,0.14706897403812036,1,0.37319989496609196,0.9420291152717055,0.9804142708061875,24.313860835126132,526.8,1.0,0.9513681750270013,36.159289540054296,23.047337424441018,357.45,1.0,0.9498830353939052,36.0596594728036,23.01967931555216,315.1,1.0,0.935719424167422,36.06308489139196,23.006379756221033,579.75,1.0,0.9461477060341632,0.8567058558220644,24.424547347995933,592.6,1.0,all,1,0.00020398799097165465,,"128,128",,,0.3,,0.003,topology,,,,,20,1.6129924915730953e-06,0,1000,topology_samples,,0.04172324005048722,1
1.5,2048,"256,256,256",1,0.0003,30,1,8.410079956054688,0,5000,pointmaze-teleport-navigate-v0,0.1837541590211913,20,1,26.047542625979986,180,0.995,body_nearest,16,1,0.00016481801867485046,full,6,,bellman_matched,20,4,45,0.28,greedy,jax,0.14706897403812036,2,0.37319989496609196,43.39438166745102,36.00519847093746,-0.01662595948046076,1000.0,0.0,17.682020422170957,28.237504602360424,8.05443786913529,716.05,0.35,20.522738573342032,27.0063044637076,5.760538014373742,759.75,0.25,13.927371417724393,30.036793019180912,11.645176654495298,540.0,0.5,24.238046404324088,18.59205451885173,10.527676329747191,720.25,0.3,all,1,0.00020398799097165465,,"128,128",,,0.3,,0.003,topology,,,,,20,1.6129924915730953e-06,0,1000,topology_samples,,0.04172324005048722,1
1.5,2048,"256,256,256",1,0.0003,30,1,8.410079956054688,0,5000,pointmaze-teleport-navigate-v0,0.1837541590211913,20,1,16.726931954035535,180,0.995,body_nearest,16,1,0.00016481801867485046,full,6,,sto_trl_matched,20,4,45,1.0,greedy,jax,0.14706897403812036,2,0.37319989496609196,0.945704405457627,0.6882727087008682,24.328540421264556,532.9,1.0,0.9394962941607099,36.064886957945994,22.99733577607395,358.0,1.0,0.9375271323005041,36.10424179299123,23.249022402684734,315.5,1.0,0.9365809859440253,36.084988754849924,23.260697089199745,583.25,1.0,0.9434332420425366,0.9117498079043787,24.310317738399128,589.55,1.0,all,1,0.00020398799097165465,,"128,128",,,0.3,,0.003,topology,,,,,20,1.6129924915730953e-06,0,1000,topology_samples,,0.04172324005048722,1
1.5,2048,"256,256,256",1,0.0003,30,1,8.410079956054688,0,5000,pointmaze-teleport-navigate-v0,0.1837541590211913,20,1,16.649008426989894,180,0.995,body_nearest,16,1,0.00016481801867485046,full,180,,bellman_full,20,4,45,1.0,greedy,jax,0.14706897403812036,2,0.37319989496609196,0.945704405457627,0.6882727087008682,24.328540421264556,532.9,1.0,0.9394962941607099,36.064886957945994,22.99733577607395,358.0,1.0,0.9375271323005041,36.10424179299123,23.249022402684734,315.5,1.0,0.9365809859440253,36.084988754849924,23.260697089199745,583.25,1.0,0.9434332420425366,0.9117498079043787,24.310317738399128,589.55,1.0,all,1,0.00020398799097165465,,"128,128",,,0.3,,0.003,topology,,,,,20,1.6129924915730953e-06,0,1000,topology_samples,,0.04172324005048722,1
