action_bin_levels,action_mode,action_scale,action_threshold,cell_size,env,gamma,iters,method,n_edges,n_states,overall_success,polish_iters,seed,task1_success,task2_success,task3_success,task4_success,task5_success,transition_k
3,knn_transition,0.2,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_polished,4197,554,0.36000000000000004,40,0,0.2,0.4,0.6,0.5,0.1,10
3,knn_transition,0.2,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_polished,4197,554,0.4,40,0,0.1,0.6,0.4,0.7,0.2,10
