advance_distance,bc_batch_size,bc_hidden_dims,bc_layer_norm,bc_lr,bc_max_future,bc_min_future,bc_rel_scale,bc_seed,bc_steps,env,env_load_seconds,episodes_per_task,eval_action_repeat,eval_seconds,full_iters,gamma,goal_candidate_mode,goal_candidates_per_state,goal_index_cache_hit,goal_index_seconds,goal_representation,iters,max_episode_steps,method,min_jump_count,n_actions,n_states,overall_success,path_mode,policy_eval_backend,policy_seconds,seed,setup_seconds,task4_final_dist,task4_final_x,task4_final_y,task4_length,task4_success,task5_final_dist,task5_final_x,task5_final_y,task5_length,task5_success,task_ids,topology_cache_hit,topology_seconds,transition_cache_hit,transition_ce,transition_hidden_dims,transition_kl,transition_l1,transition_lr,transition_max_abs,transition_mlp_lr,transition_model,transition_oracle_kl,transition_oracle_l1,transition_oracle_max_abs,transition_oracle_top1,transition_samples_per_row,transition_seconds,transition_seed,transition_steps,transition_target_source,transition_top1,value_action_agreement,value_cache_hit,value_hidden_dims,value_loss,value_max_abs,value_mlp_lr,value_model,value_mse,value_seconds,value_seed,value_steps,value_tie_tol,value_train_seconds,waypoint_lookahead
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9202282150508836,10,1,9.747413409990259,180,0.995,body_nearest,16,1,0.00018089002696797252,full,6,,bellman_matched,20,4,45,0.4,greedy,jax,0.16165328997885808,0,1.125222222006414,15.949571182975427,28.825169854600325,9.69006783815259,646.9,0.4,20.3726651218939,15.28034685005088,11.492148097086211,702.5,0.4,"4,5",1,0.00020207097986713052,1,0.8951185255259124,"128,128",3.221193344393747e-06,0.0008664954951627796,0.3,0.0005890727043151855,0.003,raw_obs_mlp,1.468361407117036e-07,3.8511934204078046e-05,0.0005890900137376365,1.0,20,0.00014293199637904763,0,2000,dataset_jump_changes,1.0,1.0,1,"256,256",0.004166672243696762,0.75,0.003,raw_obs_prev_policy_mlp,0.004166672243696762,0.04237194801680744,0,2000,1e-09,52.464539128995966,1
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9202282150508836,10,1,9.428941321035381,180,0.995,body_nearest,16,1,0.00018089002696797252,full,6,,sto_trl_matched,20,4,45,0.95,greedy,jax,0.16165328997885808,0,1.125222222006414,0.4295303419970608,35.88519470566577,23.531992145394135,630.2,1.0,2.2602221831390565,0.35203051733480917,22.439478834046078,751.1,0.9,"4,5",1,0.00020207097986713052,1,0.8951185255259124,"128,128",3.221193344393747e-06,0.0008664954951627796,0.3,0.0005890727043151855,0.003,raw_obs_mlp,1.468361407117036e-07,3.8511934204078046e-05,0.0005890900137376365,1.0,20,0.00014293199637904763,0,2000,dataset_jump_changes,1.0,1.0,1,"256,256",0.004166667622234562,0.75,0.003,raw_obs_prev_policy_mlp,0.004166667622234562,0.04237194801680744,0,2000,1e-09,56.09276580903679,1
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9202282150508836,10,1,9.717401622969192,180,0.995,body_nearest,16,1,0.00018089002696797252,full,180,,bellman_full,20,4,45,0.95,greedy,jax,0.16165328997885808,0,1.125222222006414,0.42048525867697323,35.918673306857094,23.57802083742942,632.3,1.0,2.2432789614635436,0.3761722925433788,22.392724042357234,747.0,0.9,"4,5",1,0.00020207097986713052,1,0.8951185255259124,"128,128",3.221193344393747e-06,0.0008664954951627796,0.3,0.0005890727043151855,0.003,raw_obs_mlp,1.468361407117036e-07,3.8511934204078046e-05,0.0005890900137376365,1.0,20,0.00014293199637904763,0,2000,dataset_jump_changes,1.0,1.0,1,"256,256",0.00416666770694366,0.75,0.003,raw_obs_prev_policy_mlp,0.00416666770694366,0.04237194801680744,0,2000,1e-09,54.07443738298025,1
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9202282150508836,10,1,11.798398667015135,180,0.995,body_nearest,16,1,0.00018089002696797252,full,6,,bellman_matched,20,4,45,0.2,greedy,jax,0.16165328997885808,1,1.125222222006414,18.823119599652095,27.40721536621812,7.339991057473353,734.9,0.3,30.27706776193793,21.59576959098858,2.821470150696024,908.1,0.1,"4,5",1,0.00020207097986713052,1,0.8951185255259124,"128,128",3.221193344393747e-06,0.0008664954951627796,0.3,0.0005890727043151855,0.003,raw_obs_mlp,1.468361407117036e-07,3.8511934204078046e-05,0.0005890900137376365,1.0,20,0.00014293199637904763,0,2000,dataset_jump_changes,1.0,1.0,1,"256,256",0.004166672243696762,0.75,0.003,raw_obs_prev_policy_mlp,0.004166672243696762,0.04237194801680744,0,2000,1e-09,52.464539128995966,1
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9202282150508836,10,1,9.515452041989192,180,0.995,body_nearest,16,1,0.00018089002696797252,full,6,,sto_trl_matched,20,4,45,0.95,greedy,jax,0.16165328997885808,1,1.125222222006414,0.44610361508405855,36.144595695935486,23.720315090480923,640.0,1.0,1.1826097747872566,1.0247714678777602,24.200532894265613,730.6,0.9,"4,5",1,0.00020207097986713052,1,0.8951185255259124,"128,128",3.221193344393747e-06,0.0008664954951627796,0.3,0.0005890727043151855,0.003,raw_obs_mlp,1.468361407117036e-07,3.8511934204078046e-05,0.0005890900137376365,1.0,20,0.00014293199637904763,0,2000,dataset_jump_changes,1.0,1.0,1,"256,256",0.004166667622234562,0.75,0.003,raw_obs_prev_policy_mlp,0.004166667622234562,0.04237194801680744,0,2000,1e-09,56.09276580903679,1
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9202282150508836,10,1,9.583172407001257,180,0.995,body_nearest,16,1,0.00018089002696797252,full,180,,bellman_full,20,4,45,0.95,greedy,jax,0.16165328997885808,1,1.125222222006414,0.4415551016856349,36.04816121354794,23.773399766457338,641.0,1.0,1.16980170288821,1.016168988207912,24.216322815820845,731.3,0.9,"4,5",1,0.00020207097986713052,1,0.8951185255259124,"128,128",3.221193344393747e-06,0.0008664954951627796,0.3,0.0005890727043151855,0.003,raw_obs_mlp,1.468361407117036e-07,3.8511934204078046e-05,0.0005890900137376365,1.0,20,0.00014293199637904763,0,2000,dataset_jump_changes,1.0,1.0,1,"256,256",0.00416666770694366,0.75,0.003,raw_obs_prev_policy_mlp,0.00416666770694366,0.04237194801680744,0,2000,1e-09,54.07443738298025,1
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9202282150508836,10,1,8.93410844198661,180,0.995,body_nearest,16,1,0.00018089002696797252,full,6,,bellman_matched,20,4,45,0.44999999999999996,greedy,jax,0.16165328997885808,2,1.125222222006414,11.154544848131312,31.229755895529287,14.45100339098478,474.5,0.6,23.822606584962674,16.76225906801914,7.25401532658869,774.4,0.3,"4,5",1,0.00020207097986713052,1,0.8951185255259124,"128,128",3.221193344393747e-06,0.0008664954951627796,0.3,0.0005890727043151855,0.003,raw_obs_mlp,1.468361407117036e-07,3.8511934204078046e-05,0.0005890900137376365,1.0,20,0.00014293199637904763,0,2000,dataset_jump_changes,1.0,1.0,1,"256,256",0.004166672243696762,0.75,0.003,raw_obs_prev_policy_mlp,0.004166672243696762,0.04237194801680744,0,2000,1e-09,52.464539128995966,1
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9202282150508836,10,1,10.041591849003453,180,0.995,body_nearest,16,1,0.00018089002696797252,full,6,,sto_trl_matched,20,4,45,0.9,greedy,jax,0.16165328997885808,2,1.125222222006414,0.44894046941549803,36.05563762672403,24.13538548652808,671.0,1.0,5.105655550540472,4.478494965848011,22.7530843132429,754.6,0.8,"4,5",1,0.00020207097986713052,1,0.8951185255259124,"128,128",3.221193344393747e-06,0.0008664954951627796,0.3,0.0005890727043151855,0.003,raw_obs_mlp,1.468361407117036e-07,3.8511934204078046e-05,0.0005890900137376365,1.0,20,0.00014293199637904763,0,2000,dataset_jump_changes,1.0,1.0,1,"256,256",0.004166667622234562,0.75,0.003,raw_obs_prev_policy_mlp,0.004166667622234562,0.04237194801680744,0,2000,1e-09,56.09276580903679,1
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9202282150508836,10,1,10.275806627003476,180,0.995,body_nearest,16,1,0.00018089002696797252,full,180,,bellman_full,20,4,45,0.9,greedy,jax,0.16165328997885808,2,1.125222222006414,0.41534285825867573,36.17780284002592,24.21386044362786,675.9,1.0,5.096500801101893,4.477447231185635,22.700549008323144,753.6,0.8,"4,5",1,0.00020207097986713052,1,0.8951185255259124,"128,128",3.221193344393747e-06,0.0008664954951627796,0.3,0.0005890727043151855,0.003,raw_obs_mlp,1.468361407117036e-07,3.8511934204078046e-05,0.0005890900137376365,1.0,20,0.00014293199637904763,0,2000,dataset_jump_changes,1.0,1.0,1,"256,256",0.00416666770694366,0.75,0.003,raw_obs_prev_policy_mlp,0.00416666770694366,0.04237194801680744,0,2000,1e-09,54.07443738298025,1
