action_bin_levels,action_mode,action_scale,action_threshold,cell_size,env,gamma,iters,method,n_edges,n_states,overall_success,polish_iters,proximity_weight,seed,task1_success,task2_success,task3_success,task4_success,task5_success,transition_candidates,transition_k
3,knn_transition,0.2,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_polished,4197,554,0.32,40,0.02,2,0.1,0.5,0.6,0.4,0.0,256,10
3,knn_transition,0.2,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_polished,4197,554,0.33999999999999997,40,0.02,2,0.3,0.3,0.3,0.5,0.3,256,10
3,knn_transition,0.2,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,220,bellman_full,4197,554,0.32,0,0.02,2,0.3,0.3,0.3,0.6,0.1,256,10
