action_bin_levels,action_gain,action_mode,action_smoothing,action_threshold,cell_size,env,gamma,iters,method,n_edges,n_states,overall_success,polish_iters,proximity_weight,seed,task1_success,task2_success,task3_success,task4_success,task5_success,transition_candidates,transition_k
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_polished,4197,554,0.31999999999999995,20,0.02,0,0.4,0.6,0.4,0.2,0.0,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_polished,4197,554,0.52,20,0.02,1,0.6,0.2,0.8,0.4,0.6,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_polished,4197,554,0.43999999999999995,20,0.02,2,0.2,0.6,0.6,0.2,0.6,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_polished,4197,554,0.32,20,0.02,0,0.4,0.4,0.4,0.4,0.0,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_polished,4197,554,0.27999999999999997,20,0.02,1,0.4,0.2,0.2,0.6,0.0,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_polished,4197,554,0.39999999999999997,20,0.02,2,0.6,0.6,0.2,0.4,0.2,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_polished,4197,554,0.36,40,0.02,0,0.2,0.4,0.4,0.4,0.4,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_polished,4197,554,0.24,40,0.02,1,0.2,0.2,0.2,0.4,0.2,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_polished,4197,554,0.4,40,0.02,2,0.4,0.6,0.6,0.4,0.0,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_polished,4197,554,0.4000000000000001,40,0.02,0,0.4,0.2,0.8,0.4,0.2,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_polished,4197,554,0.32,40,0.02,1,0.6,0.0,0.6,0.4,0.0,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_polished,4197,554,0.27999999999999997,40,0.02,2,0.4,0.4,0.2,0.4,0.0,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_polished,4197,554,0.31999999999999995,60,0.02,0,0.2,0.6,0.6,0.2,0.0,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_polished,4197,554,0.2,60,0.02,1,0.2,0.2,0.2,0.4,0.0,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_polished,4197,554,0.4,60,0.02,2,0.2,0.6,0.8,0.0,0.4,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_polished,4197,554,0.43999999999999995,60,0.02,0,0.6,0.8,0.0,0.2,0.6,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_polished,4197,554,0.4,60,0.02,1,0.4,0.4,0.4,0.4,0.4,256,5
3,1.0,mean,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_polished,4197,554,0.31999999999999995,60,0.02,2,0.6,0.4,0.4,0.0,0.2,256,5
