action_scale,env,episodes_per_task,eval_mode,eval_seconds,gamma,iters,max_episode_steps,method,model_max_steps,model_rollout_mode,n_actions,n_states,overall_success,profile_action_ms_per_step,profile_action_seconds,profile_env_step_ms,profile_env_step_seconds,profile_env_steps,profile_reset_seconds,seed,task1_length,task1_success,task2_length,task2_success,task3_length,task3_success,task4_length,task4_success,task5_length,task5_success,task_ids,topology_source
0.2,pointmaze-teleport-stitch-v0,1,env,0.15842969698132947,0.995,6,,sto_trl_matched,,,4,45,1.0,0.01157471059106992,0.019295042555313557,0.07737147355458884,0.1289782464154996,1667.0,0.007423950009979308,0,354.0,1.0,245.0,1.0,233.0,1.0,410.0,1.0,425.0,1.0,all,dataset
0.2,pointmaze-teleport-stitch-v0,1,env,0.3559404269908555,0.995,6,,bellman_matched,,,4,45,0.2,0.010776689120379674,0.043570154113695025,0.07518484757203289,0.303972338733729,4043.0,0.005811384995467961,0,1000.0,0.0,1000.0,0.0,43.0,1.0,1000.0,0.0,1000.0,0.0,all,dataset
0.2,pointmaze-teleport-stitch-v0,1,env,0.28537550900364295,0.995,6,,support_trl_matched,,,4,45,0.4,0.010865157499128045,0.03434476285474375,0.07711262580647249,0.24375301017425954,3161.0,0.004859032982494682,0,118.0,1.0,1000.0,0.0,43.0,1.0,1000.0,0.0,1000.0,0.0,all,dataset
0.2,pointmaze-teleport-stitch-v0,1,env,0.13598454202292487,0.995,180,,bellman_full,,,4,45,1.0,0.009282919841952036,0.015474627376534045,0.06825999273283348,0.11378940788563341,1667.0,0.005129287019371986,0,354.0,1.0,245.0,1.0,233.0,1.0,410.0,1.0,425.0,1.0,all,dataset
