action_scale,env,episodes_per_task,full_iters,gamma,iters,method,n_actions,n_states,overall_success,seed,task1_success,task2_success,task3_success,task4_success,task5_success,task_ids,topology_source,transition_ce,transition_fallback_rows,transition_fitted_rows,transition_hidden_dims,transition_kl,transition_l1,transition_lr,transition_max_abs,transition_mlp_lr,transition_model,transition_oracle_kl,transition_oracle_l1,transition_oracle_max_abs,transition_oracle_top1,transition_samples_per_row,transition_seed,transition_steps,transition_target_source,transition_top1,transition_train_seconds
0.2,pointmaze-teleport-navigate-v0,50,180,0.995,6,bellman_matched,4,45,0.512,0,0.52,0.58,0.5,0.46,0.5,all,dataset,0.07797631116199295,82,98,"128,128",0.0007514522562035858,0.009621574076384948,0.3,0.0777931244775194,0.003,raw_obs_mlp,0.231165660275478,0.05292372423941782,0.9999821949676906,0.9333333333333333,50,1,2000,dataset_cell_changes,0.9183673469387755,1.0719264599611051
0.2,pointmaze-teleport-navigate-v0,50,180,0.995,6,sto_trl_matched,4,45,0.916,0,0.9,0.94,0.88,0.9,0.96,all,dataset,0.07797631116199295,82,98,"128,128",0.0007514522562035858,0.009621574076384948,0.3,0.0777931244775194,0.003,raw_obs_mlp,0.231165660275478,0.05292372423941782,0.9999821949676906,0.9333333333333333,50,1,2000,dataset_cell_changes,0.9183673469387755,1.0719264599611051
0.2,pointmaze-teleport-navigate-v0,50,180,0.995,180,bellman_full,4,45,0.916,0,0.9,0.94,0.88,0.9,0.96,all,dataset,0.07797631116199295,82,98,"128,128",0.0007514522562035858,0.009621574076384948,0.3,0.0777931244775194,0.003,raw_obs_mlp,0.231165660275478,0.05292372423941782,0.9999821949676906,0.9333333333333333,50,1,2000,dataset_cell_changes,0.9183673469387755,1.0719264599611051
