advance_distance,bc_batch_size,bc_hidden_dims,bc_layer_norm,bc_lr,bc_max_future,bc_min_future,bc_rel_scale,bc_steps,env,episodes_per_task,eval_action_repeat,full_iters,gamma,goal_representation,iters,max_episode_steps,method,min_jump_count,n_actions,n_states,overall_success,path_mode,seed,task4_final_dist,task4_final_x,task4_final_y,task4_length,task4_success,task_ids,waypoint_lookahead
1.5,1024,"256,256,256",1,0.0003,80,5,12.614615440368652,5000,antmaze-teleport-stitch-v0,1,1,180,0.995,xy,6,,sto_trl_matched,20,4,45,0.0,greedy,0,19.03955926440241,25.895493044684418,7.202992290948346,1000.0,0.0,4,2
1.5,1024,"256,256,256",1,0.0003,80,5,12.614615440368652,5000,antmaze-teleport-stitch-v0,1,1,180,0.995,xy,180,,bellman_full,20,4,45,0.0,greedy,0,19.03955926440241,25.895493044684418,7.202992290948346,1000.0,0.0,4,2
