advance_distance,bc_batch_size,bc_hidden_dims,bc_layer_norm,bc_lr,bc_max_future,bc_min_future,bc_rel_scale,bc_seed,bc_steps,env,env_load_seconds,episodes_per_task,eval_action_repeat,eval_seconds,full_iters,gamma,goal_candidate_mode,goal_candidates_per_state,goal_index_cache_hit,goal_index_seconds,goal_representation,iters,max_episode_steps,method,min_jump_count,n_actions,n_states,overall_success,path_mode,policy_eval_backend,policy_seconds,seed,setup_seconds,task4_final_dist,task4_final_x,task4_final_y,task4_length,task4_success,task5_final_dist,task5_final_x,task5_final_y,task5_length,task5_success,task_ids,topology_cache_hit,topology_seconds,transition_ce,transition_hidden_dims,transition_kl,transition_l1,transition_lr,transition_max_abs,transition_mlp_lr,transition_model,transition_oracle_kl,transition_oracle_l1,transition_oracle_max_abs,transition_oracle_top1,transition_samples_per_row,transition_seconds,transition_seed,transition_steps,transition_target_source,transition_top1,value_seconds,waypoint_lookahead
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9338047869969159,5,1,4.808601755998097,180,0.995,body_nearest,16,1,0.00013260403648018837,full,6,,bellman_matched,20,4,45,0.4,greedy,jax,0.1369359089876525,0,7.721942995034624,10.78424110604631,31.27126457475589,14.17095881748295,462.4,0.6,27.007306137792604,21.27403135029953,8.1644917086152,812.4,0.2,"4,5",1,0.00015149504179134965,0.8951182934454746,"128,128",2.989112906526259e-06,0.00012404290355921637,0.3,8.744001388549805e-05,0.003,raw_obs_mlp,1.3376766252320982e-07,5.512489854485308e-06,8.741213079815902e-05,1.0,20,6.607029904960655,0,1000,dataset_jump_changes,1.0,0.043632853019516915,1
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9338047869969159,5,1,5.326244365016464,180,0.995,body_nearest,16,1,0.00013260403648018837,full,6,,sto_trl_matched,20,4,45,0.9,greedy,jax,0.1369359089876525,0,7.721942995034624,0.45077032703064657,35.69899527886968,23.751678843350106,643.0,1.0,4.045595363902495,0.4136462182634769,20.509539874536415,783.4,0.8,"4,5",1,0.00015149504179134965,0.8951182934454746,"128,128",2.989112906526259e-06,0.00012404290355921637,0.3,8.744001388549805e-05,0.003,raw_obs_mlp,1.3376766252320982e-07,5.512489854485308e-06,8.741213079815902e-05,1.0,20,6.607029904960655,0,1000,dataset_jump_changes,1.0,0.043632853019516915,1
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9338047869969159,5,1,5.157275837962516,180,0.995,body_nearest,16,1,0.00013260403648018837,full,180,,bellman_full,20,4,45,0.9,greedy,jax,0.1369359089876525,0,7.721942995034624,0.45639143496800205,35.67950516416111,23.763870690022788,644.2,1.0,4.0707349283507295,0.5669799313083291,20.582466309139647,781.2,0.8,"4,5",1,0.00015149504179134965,0.8951182934454746,"128,128",2.989112906526259e-06,0.00012404290355921637,0.3,8.744001388549805e-05,0.003,raw_obs_mlp,1.3376766252320982e-07,5.512489854485308e-06,8.741213079815902e-05,1.0,20,6.607029904960655,0,1000,dataset_jump_changes,1.0,0.043632853019516915,1
