action_agreement_to_full,action_agreement_to_target,buffered_final_steps,distill_steps,env,episodes_per_task,eval_mode,eval_seconds,family,feature_mode,final_loss,full_iters,gamma,iters,max_episode_steps,method,model_max_steps,model_rollout_mode,n_actions,n_states,operator_iters,overall_success,rank_ce_weight,sampled_target_next_samples,sampled_target_waypoint_candidates,sampled_target_waypoints,seed,steps_per_iter,target_buffer_monotone,target_buffer_reset_final,target_buffer_waypoint_mode,target_buffer_waypoints,task1_length,task1_success,task2_length,task2_success,task3_length,task3_success,task4_length,task4_success,task5_length,task5_success,task_ids,train_seconds,transition_l1,transition_model,transition_oracle_l1,transition_oracle_top1,transition_seed,transition_steps,transition_target_source,transition_top1,value_hidden_dims,value_max_abs_to_full,value_max_abs_to_target,value_mse_to_full,value_mse_to_target,value_seed,warmup_steps
0.9328282828282828,0.9267676767676768,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.1714314870187081,qhead,raw_obs_onehot,0.005075606517493725,180,0.995,6,,qhead_sto_trl_sampled_buffered_reset_final,,,4,45,6,0.9800000000000001,1.0,64,32,4,0,350,,,,,419.3,0.9,246.8,1.0,235.2,1.0,406.5,1.0,425.9,1.0,all,32.50653794896789,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",1.0,1.0,0.014473166250787723,0.01398313707504762,0,600
0.9883838383838384,1.0,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.1358280690037645,table,raw_obs_onehot,0.0,180,0.995,6,,table_sto_trl_matched,,,4,45,0,0.9800000000000001,1.0,,,,0,350,,,,,401.3,0.9,246.8,1.0,235.2,1.0,406.5,1.0,425.9,1.0,all,0.0,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.2726478374829411,0.0,0.001317458230128957,0.0,0,600
1.0,1.0,5000,2700,pointmaze-teleport-navigate-v0,10,env,1.1827471829601564,table,raw_obs_onehot,0.0,180,0.995,180,,table_full_bellman,,,4,45,0,0.9800000000000001,1.0,,,,0,350,,,,,419.3,0.9,246.8,1.0,235.2,1.0,406.5,1.0,425.9,1.0,all,0.0,0.00045493889389456004,raw_obs_mlp,0.048242619866071965,0.9777777777777777,0,2000,dataset_cell_changes,1.0,"256,256",0.0,0.0,0.0,0.0,0,600
