action_bin_levels,action_gain,action_mode,action_scale,action_smoothing,action_threshold,cell_size,env,gamma,iters,method,n_edges,n_states,overall_success,polish_iters,proximity_weight,seed,task1_success,task2_success,task3_success,task4_success,task5_success,task_ids,transition_candidates,transition_k
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_matched,4197,554,0.22000000000000003,0,0.02,0,0.0,0.0,0.6,0.4,0.1,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_matched,4197,554,0.14,0,0.02,1,0.0,0.0,0.4,0.2,0.1,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_matched,4197,554,0.15999999999999998,0,0.02,2,0.0,0.0,0.2,0.5,0.1,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_matched,4197,554,0.3,0,0.02,3,0.0,0.0,0.5,0.7,0.3,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,bellman_matched,4197,554,0.24,0,0.02,4,0.0,0.0,0.5,0.5,0.2,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.45999999999999996,0,0.02,0,0.7,0.2,0.6,0.4,0.4,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.24000000000000005,0,0.02,1,0.4,0.1,0.4,0.2,0.1,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.3,0,0.02,2,0.3,0.2,0.2,0.5,0.3,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.33999999999999997,0,0.02,3,0.2,0.0,0.5,0.7,0.3,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,11,sto_trl_matched,4197,554,0.3,0,0.02,4,0.2,0.0,0.5,0.5,0.3,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,220,bellman_full,4197,554,0.4999999999999999,0,0.02,0,0.7,0.5,0.6,0.4,0.3,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,220,bellman_full,4197,554,0.28,0,0.02,1,0.4,0.3,0.4,0.2,0.1,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,220,bellman_full,4197,554,0.33999999999999997,0,0.02,2,0.3,0.4,0.2,0.5,0.3,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,220,bellman_full,4197,554,0.4,0,0.02,3,0.3,0.2,0.5,0.7,0.3,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,0.995,220,bellman_full,4197,554,0.36,0,0.02,4,0.2,0.3,0.5,0.5,0.3,all,256,5
