action_scale,env,episodes_per_task,gamma,iters,method,n_actions,n_states,overall_success,seed,task1_success,task2_success,task3_success,task4_success,task5_success,task_ids,topology_source
0.2,pointmaze-teleport-stitch-v0,50,0.995,6,bellman_matched,4,45,0.384,0,0.0,0.58,0.5,0.46,0.38,all,dataset
0.2,pointmaze-teleport-stitch-v0,50,0.995,6,sto_trl_matched,4,45,0.916,0,0.9,0.94,0.88,0.9,0.96,all,dataset
0.2,pointmaze-teleport-stitch-v0,50,0.995,180,bellman_full,4,45,0.916,0,0.9,0.94,0.88,0.9,0.96,all,dataset
0.2,pointmaze-teleport-stitch-v0,50,0.995,6,bellman_matched,4,45,0.29200000000000004,1,0.0,0.38,0.38,0.38,0.32,all,dataset
0.2,pointmaze-teleport-stitch-v0,50,0.995,6,sto_trl_matched,4,45,0.8640000000000001,1,0.86,0.84,0.82,0.94,0.86,all,dataset
0.2,pointmaze-teleport-stitch-v0,50,0.995,180,bellman_full,4,45,0.8640000000000001,1,0.86,0.84,0.82,0.94,0.86,all,dataset
0.2,pointmaze-teleport-stitch-v0,50,0.995,6,bellman_matched,4,45,0.316,2,0.0,0.36,0.36,0.46,0.4,all,dataset
0.2,pointmaze-teleport-stitch-v0,50,0.995,6,sto_trl_matched,4,45,0.9199999999999999,2,0.92,0.94,0.9,0.9,0.94,all,dataset
0.2,pointmaze-teleport-stitch-v0,50,0.995,180,bellman_full,4,45,0.9199999999999999,2,0.92,0.94,0.9,0.9,0.94,all,dataset
0.2,pointmaze-teleport-stitch-v0,50,0.995,6,bellman_matched,4,45,0.392,3,0.0,0.5,0.5,0.62,0.34,all,dataset
0.2,pointmaze-teleport-stitch-v0,50,0.995,6,sto_trl_matched,4,45,0.884,3,0.86,0.88,0.9,0.9,0.88,all,dataset
0.2,pointmaze-teleport-stitch-v0,50,0.995,180,bellman_full,4,45,0.884,3,0.86,0.88,0.9,0.9,0.88,all,dataset
0.2,pointmaze-teleport-stitch-v0,50,0.995,6,bellman_matched,4,45,0.33199999999999996,4,0.0,0.48,0.46,0.4,0.32,all,dataset
0.2,pointmaze-teleport-stitch-v0,50,0.995,6,sto_trl_matched,4,45,0.9199999999999999,4,0.92,0.96,0.88,0.9,0.94,all,dataset
0.2,pointmaze-teleport-stitch-v0,50,0.995,180,bellman_full,4,45,0.9199999999999999,4,0.92,0.96,0.88,0.9,0.94,all,dataset
