action_scale,env,episodes_per_task,eval_mode,eval_seconds,full_iters,gamma,iters,max_episode_steps,method,model_max_steps,model_rollout_mode,n_actions,n_states,overall_success,profile_action_ms_per_step,profile_action_seconds,profile_env_step_ms,profile_env_step_seconds,profile_env_steps,profile_reset_seconds,seed,task1_length,task1_success,task2_length,task2_success,task3_length,task3_success,task4_length,task4_success,task5_length,task5_success,task_ids,topology_source,transition_ce,transition_fallback_rows,transition_fitted_rows,transition_hidden_dims,transition_kl,transition_l1,transition_lr,transition_max_abs,transition_mlp_lr,transition_model,transition_oracle_kl,transition_oracle_l1,transition_oracle_max_abs,transition_oracle_top1,transition_samples_per_row,transition_seed,transition_steps,transition_target_source,transition_top1,transition_train_seconds,value_action_agreement,value_hidden_dims,value_loss,value_max_abs,value_mlp_lr,value_model,value_mse,value_policy_ce_weight,value_seed,value_steps,value_tie_tol,value_train_seconds
0.2,pointmaze-teleport-navigate-v0,20,env,5.038834984006826,180,0.995,6,,bellman_matched,,,4,45,0.33,0.008195588194409948,0.574084561842028,0.06212191327899722,4.351515781367198,70048.0,0.08529103785986081,1,666.3,0.4,598.2,0.45,663.55,0.35,762.35,0.25,812.0,0.2,all,dataset,0.07733247853256663,82,98,"128,128",0.00010761962677725834,0.00045493889389456004,0.3,0.002422542092902824,0.003,raw_obs_mlp,0.23031626589262208,0.048242619866071965,0.9999845910157877,0.9777777777777777,50,0,2000,dataset_cell_changes,1.0,1.1591184179997072,0.9681818181818181,"256,256",0.34877140256648964,1.0,0.003,raw_obs_tie_policy_mlp,0.34877140256648964,0.0,0,3000,1e-09,10.967424053000286
0.2,pointmaze-teleport-navigate-v0,20,env,3.0020674880361184,180,0.995,6,,sto_trl_matched,,,4,45,0.9,0.008641129679411514,0.3430614894023165,0.0641593304041887,2.547189576376695,39701.0,0.09291126916650683,1,401.25,0.9,321.0,0.9,312.6,0.9,464.7,0.9,485.5,0.9,all,dataset,0.07733247853256663,82,98,"128,128",0.00010761962677725834,0.00045493889389456004,0.3,0.002422542092902824,0.003,raw_obs_mlp,0.23031626589262208,0.048242619866071965,0.9999845910157877,0.9777777777777777,50,0,2000,dataset_cell_changes,1.0,1.1591184179997072,0.9823232323232324,"256,256",0.610539357618452,1.0,0.003,raw_obs_tie_policy_mlp,0.610539357618452,0.0,0,3000,1e-09,10.309859547007363
0.2,pointmaze-teleport-navigate-v0,20,env,3.1591635100194253,180,0.995,180,,bellman_full,,,4,45,0.9,0.009284667161127875,0.3686105709639378,0.06724996853731523,2.669891000899952,39701.0,0.10053885105298832,1,401.25,0.9,321.0,0.9,312.6,0.9,464.7,0.9,485.5,0.9,all,dataset,0.07733247853256663,82,98,"128,128",0.00010761962677725834,0.00045493889389456004,0.3,0.002422542092902824,0.003,raw_obs_mlp,0.23031626589262208,0.048242619866071965,0.9999845910157877,0.9777777777777777,50,0,2000,dataset_cell_changes,1.0,1.1591184179997072,0.9772727272727273,"256,256",0.6183192569970083,1.0,0.003,raw_obs_tie_policy_mlp,0.6183192569970083,0.0,0,3000,1e-09,10.264459141995758
0.2,pointmaze-teleport-navigate-v0,20,env,4.8108086450374685,180,0.995,6,,bellman_matched,,,4,45,0.39,0.008562825983388348,0.5563011156627908,0.06384195791326232,4.147620479750913,64967.0,0.08040120336227119,2,500.5,0.6,690.7,0.35,758.35,0.25,576.65,0.45,722.15,0.3,all,dataset,0.07733247853256663,82,98,"128,128",0.00010761962677725834,0.00045493889389456004,0.3,0.002422542092902824,0.003,raw_obs_mlp,0.23031626589262208,0.048242619866071965,0.9999845910157877,0.9777777777777777,50,0,2000,dataset_cell_changes,1.0,1.1591184179997072,0.9681818181818181,"256,256",0.34877140256648964,1.0,0.003,raw_obs_tie_policy_mlp,0.34877140256648964,0.0,0,3000,1e-09,10.967424053000286
0.2,pointmaze-teleport-navigate-v0,20,env,2.91062827402493,180,0.995,6,,sto_trl_matched,,,4,45,0.9,0.008382400794786832,0.3319514538743533,0.062436798438645254,2.4725596549687907,39601.0,0.08837746526114643,2,403.5,0.9,283.8,0.95,313.55,0.9,496.3,0.85,482.9,0.9,all,dataset,0.07733247853256663,82,98,"128,128",0.00010761962677725834,0.00045493889389456004,0.3,0.002422542092902824,0.003,raw_obs_mlp,0.23031626589262208,0.048242619866071965,0.9999845910157877,0.9777777777777777,50,0,2000,dataset_cell_changes,1.0,1.1591184179997072,0.9823232323232324,"256,256",0.610539357618452,1.0,0.003,raw_obs_tie_policy_mlp,0.610539357618452,0.0,0,3000,1e-09,10.309859547007363
0.2,pointmaze-teleport-navigate-v0,20,env,2.9258483549929224,180,0.995,180,,bellman_full,,,4,45,0.9,0.008312539247573603,0.3291848667431623,0.06295361677246317,2.493026177806314,39601.0,0.08638751093531027,2,403.5,0.9,283.8,0.95,313.55,0.9,496.3,0.85,482.9,0.9,all,dataset,0.07733247853256663,82,98,"128,128",0.00010761962677725834,0.00045493889389456004,0.3,0.002422542092902824,0.003,raw_obs_mlp,0.23031626589262208,0.048242619866071965,0.9999845910157877,0.9777777777777777,50,0,2000,dataset_cell_changes,1.0,1.1591184179997072,0.9772727272727273,"256,256",0.6183192569970083,1.0,0.003,raw_obs_tie_policy_mlp,0.6183192569970083,0.0,0,3000,1e-09,10.264459141995758
