bc_batch_size,bc_hidden_dims,bc_layer_norm,bc_lr,bc_max_future,bc_min_future,bc_rel_scale,bc_steps,env,episodes_per_task,full_iters,gamma,goal_representation,iters,method,min_jump_count,n_actions,n_states,overall_success,seed,task4_final_dist,task4_final_x,task4_final_y,task4_length,task4_success,task5_final_dist,task5_final_x,task5_final_y,task5_length,task5_success,task_ids,waypoint_lookahead
1024,"256,256,256",1,0.0003,30,1,9.896982192993164,1000,antmaze-teleport-navigate-v0,1,180,0.995,full,6,sto_trl_matched,20,4,45,0.0,0,24.567708364561856,11.288879984290556,18.77719252053165,1000.0,0.0,26.972313961297772,26.84613331387169,21.4696548152402,1000.0,0.0,"4,5",2
1024,"256,256,256",1,0.0003,30,1,9.896982192993164,1000,antmaze-teleport-navigate-v0,1,180,0.995,full,180,bellman_full,20,4,45,0.0,0,24.567708364561856,11.288879984290556,18.77719252053165,1000.0,0.0,26.972313961297772,26.84613331387169,21.4696548152402,1000.0,0.0,"4,5",2
