advance_distance,bc_batch_size,bc_hidden_dims,bc_layer_norm,bc_lr,bc_max_future,bc_min_future,bc_rel_scale,bc_seed,bc_steps,env,env_load_seconds,episodes_per_task,eval_action_repeat,eval_seconds,full_iters,gamma,goal_candidate_mode,goal_candidates_per_state,goal_index_cache_hit,goal_index_seconds,goal_representation,iters,max_episode_steps,method,min_jump_count,n_actions,n_states,overall_success,path_mode,policy_eval_backend,policy_seconds,seed,setup_seconds,task1_final_dist,task1_final_x,task1_final_y,task1_length,task1_success,task2_final_dist,task2_final_x,task2_final_y,task2_length,task2_success,task3_final_dist,task3_final_x,task3_final_y,task3_length,task3_success,task4_final_dist,task4_final_x,task4_final_y,task4_length,task4_success,task5_final_dist,task5_final_x,task5_final_y,task5_length,task5_success,task_ids,topology_cache_hit,topology_seconds,value_seconds,waypoint_lookahead
1.5,2048,"256,256,256",1,0.0003,30,1,8.410079956054688,0,5000,pointmaze-teleport-navigate-v0,0.18563470395747572,20,1,23.009092285996303,180,0.995,body_nearest,16,0,0.8567220689728856,full,6,,bellman_matched,20,4,45,0.38,greedy,jax,54.873102198995184,0,58.38982588099316,43.15299852718144,36.01132836373094,-0.01907442234012461,1000.0,0.0,11.26103542842581,31.21967938353191,13.74088101843372,509.2,0.6,13.877835276122202,29.98031264058045,11.421573086606804,523.85,0.5,16.422207280578867,28.803310667456024,9.152740351296961,628.35,0.4,21.424249619545623,17.968622535421854,16.489011332951485,641.1,0.4,all,0,2.4315171519992873,0.04192842199699953,1
1.5,2048,"256,256,256",1,0.0003,30,1,8.410079956054688,0,5000,pointmaze-teleport-navigate-v0,0.18563470395747572,20,1,16.760351565957535,180,0.995,body_nearest,16,0,0.8567220689728856,full,6,,sto_trl_matched,20,4,45,1.0,greedy,jax,54.873102198995184,0,58.38982588099316,0.9341653377430263,0.9220242473313587,24.325441028166022,530.85,1.0,0.9373691065767673,36.11599116686543,22.90714607706679,357.95,1.0,0.9414107318648179,36.063337692833,22.938791417086588,313.75,1.0,0.9498904277390979,36.115118257197324,22.898823333148947,581.4,1.0,0.9504176563197678,0.7476008558238905,24.43921052359624,591.25,1.0,all,0,2.4315171519992873,0.04192842199699953,1
1.5,2048,"256,256,256",1,0.0003,30,1,8.410079956054688,0,5000,pointmaze-teleport-navigate-v0,0.18563470395747572,20,1,16.458469456993043,180,0.995,body_nearest,16,0,0.8567220689728856,full,180,,bellman_full,20,4,45,1.0,greedy,jax,54.873102198995184,0,58.38982588099316,0.9341653377430263,0.9220242473313587,24.325441028166022,530.85,1.0,0.9373691065767673,36.11599116686543,22.90714607706679,357.95,1.0,0.9414107318648179,36.063337692833,22.938791417086588,313.75,1.0,0.9498904277390979,36.115118257197324,22.898823333148947,581.4,1.0,0.9504176563197678,0.7476008558238905,24.43921052359624,591.25,1.0,all,0,2.4315171519992873,0.04192842199699953,1
