advance_distance,bc_batch_size,bc_hidden_dims,bc_layer_norm,bc_lr,bc_max_future,bc_min_future,bc_rel_scale,bc_seed,bc_steps,env,env_load_seconds,episodes_per_task,eval_action_repeat,eval_seconds,full_iters,gamma,goal_candidate_mode,goal_candidates_per_state,goal_index_cache_hit,goal_index_seconds,goal_representation,iters,max_episode_steps,method,min_jump_count,n_actions,n_states,overall_success,path_mode,policy_eval_backend,policy_seconds,profile_action_ms_per_call,profile_action_seconds,profile_env_step_ms,profile_env_step_seconds,profile_env_steps,profile_policy_calls,profile_reset_seconds,seed,setup_seconds,task1_final_dist,task1_final_x,task1_final_y,task1_length,task1_success,task2_final_dist,task2_final_x,task2_final_y,task2_length,task2_success,task3_final_dist,task3_final_x,task3_final_y,task3_length,task3_success,task4_final_dist,task4_final_x,task4_final_y,task4_length,task4_success,task5_final_dist,task5_final_x,task5_final_y,task5_length,task5_success,task_ids,topology_cache_hit,topology_seconds,transition_cache_hit,transition_ce,transition_hidden_dims,transition_kl,transition_l1,transition_lr,transition_max_abs,transition_mlp_lr,transition_model,transition_oracle_kl,transition_oracle_l1,transition_oracle_max_abs,transition_oracle_top1,transition_samples_per_row,transition_seconds,transition_seed,transition_steps,transition_target_source,transition_top1,value_action_agreement,value_cache_hit,value_hidden_dims,value_loss,value_max_abs,value_mlp_lr,value_model,value_mse,value_seconds,value_seed,value_steps,value_tie_tol,value_train_seconds,waypoint_lookahead
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9806764799868688,5,1,15.36251601204276,180,0.995,body_nearest,16,1,0.00013813696568831801,full,6,,bellman_matched,20,4,45,0.36,greedy,jax,0.17835582501720637,0.48235510192953723,8.274801773601212,0.4067020674397085,6.976973966928199,17155.0,17155.0,0.06100460310699418,0,1.2073487250017934,42.73922942399007,35.97086410630142,0.16663209568025414,1000.0,0.0,16.058678748186185,28.755330715090217,9.641564888518236,692.2,0.4,10.952781870706009,31.189442044829303,14.221094714338406,456.4,0.6,10.796870395456487,31.2874122560324,14.346837210318034,465.4,0.6,27.00799734839485,21.171633324620423,8.242284213290402,817.0,0.2,all,1,0.0001920150243677199,1,0.8951185255259124,"128,128",3.221193344393747e-06,0.0008664954951627796,0.3,0.0005890727043151855,0.003,raw_obs_mlp,1.468361407117036e-07,3.8511934204078046e-05,0.0005890900137376365,1.0,20,0.00017275899881497025,0,2000,dataset_jump_changes,1.0,1.0,1,"256,256",0.004166672243696762,0.75,0.003,raw_obs_prev_policy_mlp,0.004166672243696762,0.04733823100104928,0,2000,1e-09,52.464539128995966,1
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9806764799868688,5,1,12.240553156007081,180,0.995,body_nearest,16,1,0.00013813696568831801,full,6,,sto_trl_matched,20,4,45,0.9199999999999999,greedy,jax,0.17835582501720637,0.44349921090906025,6.509681417723186,0.38424182105055027,5.639901449379977,14678.0,14678.0,0.0583485298557207,0,1.2073487250017934,3.321950960394017,2.2154707080163254,21.5771294068701,643.2,0.8,0.43447129969341897,35.695518664751305,23.514481860670315,403.8,1.0,0.40656508806554054,36.107143906081376,23.405133706656017,465.2,1.0,0.4246327009388128,35.690841928749975,23.763052969956245,642.0,1.0,4.052098705839919,0.5351331615026279,20.57253633142283,781.4,0.8,all,1,0.0001920150243677199,1,0.8951185255259124,"128,128",3.221193344393747e-06,0.0008664954951627796,0.3,0.0005890727043151855,0.003,raw_obs_mlp,1.468361407117036e-07,3.8511934204078046e-05,0.0005890900137376365,1.0,20,0.00017275899881497025,0,2000,dataset_jump_changes,1.0,1.0,1,"256,256",0.004166667622234562,0.75,0.003,raw_obs_prev_policy_mlp,0.004166667622234562,0.04733823100104928,0,2000,1e-09,56.09276580903679,1
1.5,2048,"256,256,256",1,0.0003,30,1,9.896982192993164,0,50000,antmaze-teleport-navigate-v0,0.9806764799868688,5,1,12.667425372987054,180,0.995,body_nearest,16,1,0.00013813696568831801,full,180,,bellman_full,20,4,45,0.9199999999999999,greedy,jax,0.17835582501720637,0.45942622531565713,6.759538053069264,0.3957466273475837,5.822620128164999,14713.0,14713.0,0.05259056016802788,0,1.2073487250017934,3.321502917435877,2.159826780685576,21.543431993049587,642.2,0.8,0.41148631944234876,35.725118006066324,23.630678272139384,405.8,1.0,0.4184466556108581,36.01769062903206,23.575468684246566,467.2,1.0,0.4429773683115089,35.77318012130215,23.754834307803407,643.2,1.0,4.024069133398141,0.593577616964746,20.454786124040996,784.2,0.8,all,1,0.0001920150243677199,1,0.8951185255259124,"128,128",3.221193344393747e-06,0.0008664954951627796,0.3,0.0005890727043151855,0.003,raw_obs_mlp,1.468361407117036e-07,3.8511934204078046e-05,0.0005890900137376365,1.0,20,0.00017275899881497025,0,2000,dataset_jump_changes,1.0,1.0,1,"256,256",0.00416666770694366,0.75,0.003,raw_obs_prev_policy_mlp,0.00416666770694366,0.04733823100104928,0,2000,1e-09,54.07443738298025,1
