advance_distance,bc_batch_size,bc_hidden_dims,bc_layer_norm,bc_lr,bc_max_future,bc_min_future,bc_rel_scale,bc_seed,bc_steps,env,env_load_seconds,episodes_per_task,eval_action_repeat,eval_seconds,full_iters,gamma,goal_candidate_mode,goal_candidates_per_state,goal_index_cache_hit,goal_index_seconds,goal_representation,iters,max_episode_steps,method,min_jump_count,n_actions,n_states,overall_success,path_mode,policy_eval_backend,policy_seconds,seed,setup_seconds,task4_final_dist,task4_final_x,task4_final_y,task4_length,task4_success,task5_final_dist,task5_final_x,task5_final_y,task5_length,task5_success,task_ids,topology_cache_hit,topology_seconds,transition_ce,transition_kl,transition_l1,transition_lr,transition_max_abs,transition_model,transition_oracle_kl,transition_oracle_l1,transition_oracle_max_abs,transition_oracle_top1,transition_samples_per_row,transition_seconds,transition_seed,transition_steps,transition_target_source,transition_top1,value_seconds,waypoint_lookahead
1.5,2048,"256,256,256",1,0.0003,30,1,12.614615440368652,0,20000,antmaze-teleport-stitch-v0,1.238557804026641,10,1,8.538794972992036,180,0.995,body_nearest,16,1,0.00012245000107213855,full,6,,bellman_matched,20,4,45,0.5,greedy,jax,0.13684318598825485,0,1.5391883190022781,16.352371308447566,28.454124008139257,9.33913540819146,642.7,0.4,13.649996358321044,9.304676546484677,14.745589015699082,558.2,0.6,"4,5",1,0.0003119900356978178,0.05803782472973982,0.00012525635143311592,0.0002504969952685949,0.3,0.00012627863927194838,learned_softmax,0.002001393216973492,0.013341074288650022,0.16604243195246127,0.9611111111111111,20,0.12699456000700593,1,1000,topology_samples,1.0,0.03601793997222558,1
1.5,2048,"256,256,256",1,0.0003,30,1,12.614615440368652,0,20000,antmaze-teleport-stitch-v0,1.238557804026641,10,1,8.689304776024073,180,0.995,body_nearest,16,1,0.00012245000107213855,full,6,,sto_trl_matched,20,4,45,1.0,greedy,jax,0.13684318598825485,0,1.5391883190022781,0.43159952851977296,36.10474804365393,23.58929216686181,624.6,1.0,0.40515818142052923,-0.07980648772429144,24.382773073758738,713.5,1.0,"4,5",1,0.0003119900356978178,0.05803782472973982,0.00012525635143311592,0.0002504969952685949,0.3,0.00012627863927194838,learned_softmax,0.002001393216973492,0.013341074288650022,0.16604243195246127,0.9611111111111111,20,0.12699456000700593,1,1000,topology_samples,1.0,0.03601793997222558,1
1.5,2048,"256,256,256",1,0.0003,30,1,12.614615440368652,0,20000,antmaze-teleport-stitch-v0,1.238557804026641,10,1,8.862137938966043,180,0.995,body_nearest,16,1,0.00012245000107213855,full,180,,bellman_full,20,4,45,1.0,greedy,jax,0.13684318598825485,0,1.5391883190022781,0.41916056157292525,36.115867125637,23.65281595782553,626.1,1.0,0.4171805718389011,-0.09781962920395708,24.402475234687778,712.2,1.0,"4,5",1,0.0003119900356978178,0.05803782472973982,0.00012525635143311592,0.0002504969952685949,0.3,0.00012627863927194838,learned_softmax,0.002001393216973492,0.013341074288650022,0.16604243195246127,0.9611111111111111,20,0.12699456000700593,1,1000,topology_samples,1.0,0.03601793997222558,1
