advance_distance,bc_batch_size,bc_hidden_dims,bc_layer_norm,bc_lr,bc_max_future,bc_min_future,bc_rel_scale,bc_seed,bc_steps,env,env_load_seconds,episodes_per_task,eval_action_repeat,eval_seconds,full_iters,gamma,goal_candidate_mode,goal_candidates_per_state,goal_index_cache_hit,goal_index_seconds,goal_representation,iters,max_episode_steps,method,min_jump_count,n_actions,n_states,overall_success,path_mode,policy_eval_backend,policy_seconds,profile_action_ms_per_call,profile_action_seconds,profile_env_step_ms,profile_env_step_seconds,profile_env_steps,profile_policy_calls,profile_reset_seconds,seed,setup_seconds,task4_final_dist,task4_final_x,task4_final_y,task4_length,task4_success,task5_final_dist,task5_final_x,task5_final_y,task5_length,task5_success,task_ids,topology_cache_hit,topology_seconds,transition_cache_hit,transition_ce,transition_hidden_dims,transition_kl,transition_l1,transition_lr,transition_max_abs,transition_mlp_lr,transition_model,transition_oracle_kl,transition_oracle_l1,transition_oracle_max_abs,transition_oracle_top1,transition_samples_per_row,transition_seconds,transition_seed,transition_steps,transition_target_source,transition_top1,value_action_agreement,value_cache_hit,value_hidden_dims,value_loss,value_max_abs,value_mlp_lr,value_model,value_mse,value_seconds,value_seed,value_steps,value_tie_tol,value_train_seconds,waypoint_lookahead
1.5,2048,"256,256,256",1,0.0003,30,1,12.614615440368652,0,20000,antmaze-teleport-stitch-v0,1.297485462971963,3,1,3.1964777459506877,180,0.995,body_nearest,16,1,0.00039339298382401466,full,6,,bellman_matched,20,4,45,0.3333333333333333,greedy,jax,0.10753475298406556,0.40068557290278345,1.6840814629103988,0.3536023100565072,1.4861905091674998,4203.0,4203.0,0.013235009973868728,0,69.53984608897008,9.086118638651792,31.89211282119631,15.849711913181027,401.0,0.6666666666666666,35.35335053136404,31.985979549048185,16.123764102176086,1000.0,0.0,"4,5",1,0.0004754799883812666,1,0.89594361361399,"128,128",0.00040434291146496104,0.02572721427541874,0.3,0.019356845469956974,0.003,raw_obs_mlp,1.7972015386863438e-05,0.001143431434639096,0.01935687489830923,0.9944444444444445,20,0.00039343402022495866,0,2000,dataset_jump_changes,0.875,0.6893939393939394,0,"256,256",0.012279248796403408,0.9999666213989258,0.003,raw_obs_qhead_mlp,0.005394579820884246,68.13306080998154,0,5000,1e-09,20.205201639968436,1
1.5,2048,"256,256,256",1,0.0003,30,1,12.614615440368652,0,20000,antmaze-teleport-stitch-v0,1.297485462971963,3,1,2.9826835519634187,180,0.995,body_nearest,16,1,0.00039339298382401466,full,6,,sto_trl_matched,20,4,45,0.6666666666666666,greedy,jax,0.10753475298406556,0.3294608987949589,1.4861981144640595,0.32751515275796467,1.4774208540911786,4511.0,4511.0,0.011263124004472047,0,69.53984608897008,0.45593588353775444,35.55345823698846,23.699801255582713,596.3333333333334,1.0,9.923293715764446,4.060214773108873,16.308563987678536,907.3333333333334,0.3333333333333333,"4,5",1,0.0004754799883812666,1,0.89594361361399,"128,128",0.00040434291146496104,0.02572721427541874,0.3,0.019356845469956974,0.003,raw_obs_mlp,1.7972015386863438e-05,0.001143431434639096,0.01935687489830923,0.9944444444444445,20,0.00039343402022495866,0,2000,dataset_jump_changes,0.875,0.947979797979798,0,"256,256",0.0030638310126960278,0.4057528456792441,0.003,raw_obs_qhead_mlp,0.0022503418924917046,68.13306080998154,0,5000,1e-09,20.02285791496979,1
1.5,2048,"256,256,256",1,0.0003,30,1,12.614615440368652,0,20000,antmaze-teleport-stitch-v0,1.297485462971963,3,1,3.088193071016576,180,0.995,body_nearest,16,1,0.00039339298382401466,full,180,,bellman_full,20,4,45,0.6666666666666666,greedy,jax,0.10753475298406556,0.34524295286279366,1.5594624180812389,0.3339773892066863,1.508575867046602,4517.0,4517.0,0.011904132028575987,0,69.53984608897008,0.43050181368540225,35.58584211582573,23.622626985276998,593.6666666666666,1.0,9.933823300105773,3.8482628277817987,16.298842959538018,912.0,0.3333333333333333,"4,5",1,0.0004754799883812666,1,0.89594361361399,"128,128",0.00040434291146496104,0.02572721427541874,0.3,0.019356845469956974,0.003,raw_obs_mlp,1.7972015386863438e-05,0.001143431434639096,0.01935687489830923,0.9944444444444445,20,0.00039343402022495866,0,2000,dataset_jump_changes,0.875,0.9631313131313132,0,"256,256",0.0026629811618477106,0.4052885195945134,0.003,raw_obs_qhead_mlp,0.0017894145381237318,68.13306080998154,0,5000,1e-09,20.253008295956533,1
