training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/distill_loss,training/critic/mc_loss,training/critic/q_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/critic/total_loss,training/critic/z_mc_target_mean,training/critic/z_mean,training/critic/z_target_mean,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/distill_loss,validation/critic/mc_loss,validation/critic/q_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/critic/total_loss,validation/critic/z_mc_target_mean,validation/critic/z_mean,validation/critic/z_target_mean,time/epoch_time,time/total_time,step
1.0775092,-2.5836382,0.07750914,0.7457611,62.95258,1.0,-62.95258,1.0,0.0,62.9631,3.56722,1.04575285e-07,7.233307e-10,0.0,9.86353,-0.33268943,-63.79579,-69.9427,0.7121445,-0.96804047,13.286663,1.0821092,-2.7369747,0.08210924,0.8990977,61.518024,1.0,-61.518024,1.0,0.0,61.06727,3.7044578,0.22382899,0.001327595,0.0,9.811185,-0.3563338,-61.923607,-68.84074,0.010170510053634644,10.170535802841187,1000
1.0698707,-2.329025,0.06987075,0.49114805,78.540665,1.0,-78.540665,1.0,0.0,77.23017,0.6503159,2.1803662e-05,4.3286683e-08,2.5041526e-36,8.373333,-0.38618428,-78.11635,-79.40822,0.74605614,-0.9922221,10.410282,1.0704292,-2.3476415,0.070429236,0.5097643,78.88382,1.0,-78.88382,1.0,0.0,77.31662,0.547563,2.1585538e-05,4.542649e-08,2.6562978e-36,8.279225,-0.36145735,-78.17808,-78.84977,0.0038292255401611327,13.999778985977173,2000
1.0695524,-2.3184142,0.06955243,0.48053706,78.98004,1.0,-78.98004,1.0,0.0,77.580124,0.43963122,4.6093802e-11,9.764377e-14,1.2289346e-35,8.197643,-0.40126193,-78.481384,-79.311035,1.965868,-1.8029852,34.572174,1.0700247,-2.3341594,0.07002478,0.49628228,79.14093,1.0,-79.14093,1.0,0.0,77.57485,0.2846149,2.4482558e-12,5.4079903e-15,5.280825e-36,8.0421,-0.37515935,-78.45001,-79.69887,0.0036699483394622805,17.669745206832886,3000
1.0703108,-2.3436956,0.07031086,0.5058186,79.460434,1.0,-79.460434,1.0,0.0,78.33168,0.34859562,1.15225615e-26,2.9227236e-29,1.1638692e-35,8.181764,-0.36614323,-79.19782,-79.67482,2.8713753,-1.9761066,27.260159,1.0703963,-2.346544,0.07039632,0.50866693,79.30972,1.0,-79.30972,1.0,0.0,78.34461,0.13958572,1.0934968e-18,2.8140155e-21,1.0885679e-35,7.9740467,-0.34566844,-79.19029,-79.99066,0.003711839914321899,21.38160467147827,4000
1.0686587,-2.2886252,0.068658754,0.45074818,79.395775,0.99999994,-79.395775,1.0,0.0,78.28299,0.12520823,7.5762e-25,1.5712952e-27,1.2299851e-35,7.9535074,-0.35469234,-79.13769,-79.877335,1.7993633,-1.4196994,23.611025,1.0694633,-2.3154435,0.0694633,0.47756633,79.81084,1.0,-79.81084,1.0,0.0,78.869225,0.26206702,1.9353286e-25,3.8231204e-28,4.083633e-36,8.14899,-0.34435138,-79.71358,-79.67162,0.003847765922546387,25.229390144348145,5000
1.0688118,-2.293725,0.06881175,0.45584798,79.63286,1.0,-79.63286,1.0,0.0,78.66888,0.04260559,7.901844e-31,1.6083154e-33,9.947053e-36,7.909493,-0.3763826,-79.54526,-79.97443,0.49007413,-0.3530127,6.136883,1.0681324,-2.271079,0.06813237,0.4332019,79.75158,1.0,-79.75158,1.0,0.0,78.79662,0.031104777,2.566419e-32,1.2301618e-34,1.1766006e-35,7.910767,-0.3406425,-79.63726,-79.992516,0.0037445380687713622,28.973943948745728,6000
1.0679755,-2.2658515,0.067975536,0.42797428,79.6662,1.0,-79.6662,1.0,0.0,78.715225,0.248131,6.6159178e-34,2.911552e-35,7.283974e-36,8.119654,-0.35752186,-79.572754,-79.67458,0.8024588,-0.6082883,9.76279,1.0683241,-2.2774694,0.068324074,0.43959233,79.846344,1.0,-79.846344,1.0,0.0,78.905304,0.23151028,9.0997075e-34,2.4773044e-35,1.145187e-35,8.122041,-0.36318085,-79.76849,-79.68049,0.0037224383354187013,32.69640755653381,7000
1.0684683,-2.2822762,0.06846829,0.44439915,79.78898,1.0,-79.78898,1.0,0.0,78.83589,0.017060831,7.815312e-35,2.492539e-35,1.7182509e-35,7.90065,-0.35149157,-79.68738,-79.99104,0.26435456,-0.27443042,4.83133,1.0689399,-2.297999,0.06893997,0.46012205,79.78754,1.0,-79.78754,1.0,0.0,78.85744,0.018892767,9.714299e-35,2.5040624e-35,9.3159176e-36,7.9046364,-0.33364695,-79.69108,-79.980446,0.0037882285118103027,36.48465132713318,8000
1.068328,-2.2775996,0.068327986,0.43972254,79.71711,1.0,-79.71711,1.0,0.0,78.76891,0.23870926,7.527734e-35,2.6349306e-35,1.5864088e-35,8.115601,-0.36311835,-79.632034,-79.67654,0.42906028,-0.29608563,4.7832828,1.0694643,-2.3154774,0.06946432,0.47760034,79.81991,1.0,-79.81991,1.0,0.0,78.85704,0.23303637,5.476319e-35,2.4393695e-35,1.2147004e-35,8.11874,-0.3563338,-79.71337,-79.67743,0.0037420220375061035,40.22668981552124,9000
1.0675414,-2.2513769,0.06754131,0.4134999,79.71657,1.0,-79.71657,1.0,0.0,78.75793,0.24360153,3.4466354e-33,3.9362123e-35,1.2337255e-35,8.119394,-0.36283302,-79.62076,-79.67082,0.19772594,-0.29586872,3.3551173,1.0675161,-2.2505345,0.06751603,0.41265744,79.637085,1.0,-79.637085,1.0,0.0,78.69787,0.03394434,7.396228e-35,2.8856888e-35,1.6531067e-35,7.903731,-0.3459459,-79.54382,-79.98793,0.0037610042095184326,43.98771381378174,10000
