training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/distill_loss,training/critic/q_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/critic/total_loss,training/critic/z_mean,training/critic/z_target_mean,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/distill_loss,validation/critic/q_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/critic/total_loss,validation/critic/z_mean,validation/critic/z_target_mean,time/epoch_time,time/total_time,step
1.0819894,-2.7329807,0.08198942,0.8951037,27.603636,1.0,-27.603636,1.0,0.0,0.9911311,0.48282763,0.0017472839,2.2858546e-23,0.9911311,-22.985264,-23.230556,0.17897232,-0.18659244,2.7509854,1.0792663,-2.6422129,0.079266384,0.80433595,26.563484,0.9999999,-26.563484,1.0,0.0,1.1901808,0.51273227,0.008626193,2.763954e-23,1.1901808,-23.193691,-24.069351,0.017187769889831544,8.593900918960571,500
1.0759151,-2.5305045,0.075915135,0.6926275,196.5275,1.0,-196.5275,1.0,0.0,11.169764,2.0663927e-13,4.0362165e-16,0.0,11.169764,-173.67346,-174.38814,0.6768621,-0.43924284,9.126583,1.077741,-2.5913682,0.07774104,0.75349104,198.44429,1.0,-198.44429,1.0,0.0,9.910358,0.15277816,0.00071979576,0.0,9.910358,-175.28986,-176.5496,0.0036215872764587403,10.404713869094849,1000
1.0744321,-2.4810715,0.07443214,0.64319444,1354.5403,1.0,-1354.5403,1.0,0.0,67.20004,2.7458351e-09,5.4655044e-12,0.0,67.20004,-1141.9922,-1145.4843,2.973256,-3.6733263,45.487465,1.0737907,-2.4596887,0.073790655,0.6218115,1378.6018,1.0,-1378.6018,1.0,0.0,78.80698,0.0,0.0,0.0,78.80698,-1175.0333,-1199.9861,0.003606184005737305,12.207824230194092,1500
1.0736686,-2.4556231,0.073668696,0.6177461,10416.83,0.99999994,-10416.83,1.0,0.0,517.8972,5.0282463e-28,9.820794e-31,0.0,517.8972,-8601.045,-8758.943,19.841553,-12.741421,247.66708,1.0772829,-2.5760956,0.07728287,0.7382186,9554.725,1.0,-9554.725,1.0,0.0,516.2817,8.5442854e-17,1.6688057e-19,0.0,516.2817,-7922.4277,-7986.551,0.003494241714477539,13.954962730407715,2000
1.0771825,-2.5727503,0.07718251,0.73487335,57676.656,1.0,-57676.656,1.0,0.0,3537.6587,0.0,0.0,0.0,3537.6587,-47636.883,-50958.78,83.15253,-41.781208,1039.6414,1.0748019,-2.4933956,0.07480186,0.65551853,55552.633,1.0000001,-55552.633,1.0,0.0,3619.9282,0.0,0.0,0.0,3619.9282,-45500.5,-49532.836,0.0036446194648742675,15.777294397354126,2500
1.0739058,-2.463529,0.07390588,0.6256522,224233.78,1.0,-224233.78,1.0,0.0,18289.738,0.0,0.0,0.0,18289.738,-192389.34,-235086.62,350.52472,-137.04927,4771.501,1.0730207,-2.434022,0.07302067,0.59614503,225022.4,1.0,-225022.4,1.0,0.0,19893.355,0.0,0.0,0.0,19893.355,-196963.81,-235916.6,0.003647508144378662,17.60106611251831,3000
