training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/distill_loss,training/critic/improve_frac,training/critic/mc_loss,training/critic/q_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/critic/total_loss,training/critic/z_mc_target_mean,training/critic/z_mean,training/critic/z_target_mean,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/distill_loss,validation/critic/improve_frac,validation/critic/mc_loss,validation/critic/q_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/critic/total_loss,validation/critic/z_mc_target_mean,validation/critic/z_mean,validation/critic/z_target_mean,time/epoch_time,time/total_time,step
-0.90850514,-2.8903756,0.086711265,1.0524986,0.79417515,-0.9952164,0.79037714,1.0,0.0,0.01171875,0.028090905,0.00018651913,0.80252075,0.6945241,0.5007082,0.028277425,-0.33268943,-0.36961806,-0.6746705,0.032687932,-0.053328916,0.94332236,-0.91083604,-2.8544166,0.0856325,1.0165396,0.7548735,-0.99646854,0.7522087,1.0,0.0,0.013671875,0.03084695,0.00016790976,0.7999495,0.6803246,0.4774893,0.03101486,-0.35633376,-0.39056194,-0.6941583,0.010424106359481811,10.424129009246826,1000
-0.9150858,-2.8268716,0.084806144,0.9889946,0.78383934,-0.99989194,0.78375566,1.0,0.0,0.01953125,0.03290501,0.00016320887,0.79586077,0.6872291,0.47890186,0.033068217,-0.38618428,-0.38019878,-0.6697633,0.020972084,-0.03007677,0.52214843,-0.91359586,-2.8554704,0.08566411,1.0175934,0.7592896,-0.99925995,0.75872874,1.0,0.0,0.03125,0.030535663,0.0002462003,0.78651273,0.67357874,0.4289387,0.030781863,-0.36145735,-0.4004368,-0.6701569,0.004155226230621338,14.579387187957764,2000
-0.90382177,-2.9183831,0.08755149,1.0805062,0.73711705,-0.99137324,0.73075914,1.0,0.0,0.01953125,0.032172814,0.00021134838,0.8321246,0.67981803,0.45636806,0.03238416,-0.40126193,-0.39289668,-0.67702836,0.04652295,-0.11040969,0.9974825,-0.90835327,-2.899059,0.08697177,1.0611819,0.74352264,-0.995325,0.74004763,1.0,0.0,0.037109375,0.031245407,1.5816058e-05,0.81976956,0.6757016,0.41542125,0.031261224,-0.37515935,-0.39761776,-0.6677201,0.0038848094940185547,18.464240789413452,3000
-0.9055485,-2.9638789,0.08891636,1.1260018,0.6935735,-0.9944649,0.6897355,1.0,0.0,0.041015625,0.03176575,0.00022025552,0.7999297,0.66451365,0.41349354,0.031986006,-0.36614323,-0.41480118,-0.6500062,0.05914028,-0.088773206,1.5214646,-0.90851796,-3.0439692,0.09131907,1.2060921,0.758418,-0.99983704,0.7582954,1.0,0.0,0.015625,0.030927941,7.2106022e-06,0.8226452,0.6896128,0.503763,0.030935152,-0.34566844,-0.3773094,-0.67042696,0.0037443952560424804,22.208661556243896,4000
-0.91151774,-2.9493704,0.0884811,1.1114931,0.85866547,-0.99999887,0.85866547,1.0,0.0,0.021484375,0.027854733,1.0979486e-05,0.81379336,0.7040237,0.52658755,0.027865713,-0.35469234,-0.3551768,-0.6600489,0.033124067,-0.018934174,0.43654102,-0.9118325,-2.9321752,0.08796525,1.0942979,0.8639793,-0.99979776,0.86380553,1.0,0.0,0.025390625,0.033899747,0.00011279049,0.8571943,0.7022295,0.5172203,0.034012537,-0.34435138,-0.35840178,-0.6550859,0.003815105676651001,26.023804426193237,5000
-0.90975916,-2.8543978,0.08563194,1.016521,0.7515311,-0.9953911,0.7480684,1.0,0.0,0.021484375,0.033255406,1.2910818e-05,0.8340791,0.68536246,0.47170365,0.033268318,-0.3763826,-0.38463905,-0.652303,0.022791049,-0.033142067,0.5647376,-0.91495407,-2.834821,0.08504464,0.99694407,0.77717906,-0.9999987,0.77717906,1.0,0.0,0.01171875,0.028734379,3.8833614e-06,0.82936054,0.68249536,0.49575835,0.028738262,-0.3406425,-0.38851452,-0.66662395,0.0045786375999450684,30.602470636367798,6000
-0.91378856,-2.873673,0.08621019,1.0357959,0.80061316,-0.99999875,0.80061316,1.0,0.0,0.033203125,0.028918818,0.00022064504,0.8251307,0.6936755,0.50369287,0.029139463,-0.35752186,-0.37066007,-0.66140735,0.041046537,-0.050431788,0.8789285,-0.91293323,-2.8765116,0.086295344,1.0386345,0.92818344,-0.9992286,0.9274684,1.0,0.0,0.015625,0.03424283,0.00017584261,0.82539153,0.7035954,0.5176286,0.034418672,-0.36318088,-0.3560148,-0.65937376,0.00425544261932373,34.85794281959534,7000
-0.91063756,-2.9787097,0.089361295,1.1408329,0.90277994,-0.99999887,0.90277994,1.0,0.0,0.001953125,0.03257495,9.6275635e-08,0.84394234,0.71537185,0.5181229,0.03257505,-0.35149157,-0.34060675,-0.648937,0.037786495,-0.023800245,0.6561219,-0.9125242,-2.912796,0.08738388,1.0749191,0.9714446,-0.9999081,0.97135633,1.0,0.0,0.00390625,0.025946021,5.212285e-07,0.8476433,0.71993387,0.5091651,0.025946543,-0.33364695,-0.33329946,-0.658835,0.004074719667434693,38.932703495025635,8000
-0.91054267,-2.961963,0.08885889,1.1240861,0.8347299,-0.99940157,0.8342314,1.0,0.0,0.021484375,0.03067821,0.0001619229,0.83091503,0.6994017,0.48147467,0.030840134,-0.36311832,-0.36287576,-0.6590964,0.04629324,-0.045155488,0.53470093,-0.9111966,-2.9600751,0.08880225,1.1221981,0.89978635,-0.99999887,0.89978635,1.0,0.0,0.0078125,0.027088678,0.00015362132,0.84758335,0.7035578,0.47630072,0.0272423,-0.3563338,-0.35748273,-0.662202,0.0044454350471496585,43.37817311286926,9000
-0.914469,-2.850996,0.08552988,1.013119,0.8932402,-0.99999887,0.8932402,1.0,0.0,0.021484375,0.030540094,0.00015161175,0.82008225,0.7110479,0.4766482,0.030691706,-0.36283302,-0.3468603,-0.6453062,0.032848824,-0.0198638,0.6007429,-0.9111455,-2.9219432,0.08765829,1.0840662,0.9063952,-0.9988038,0.90531194,1.0,0.0,0.0078125,0.02848178,8.962636e-07,0.8234075,0.7071368,0.51403874,0.028482676,-0.3459459,-0.35192683,-0.6684654,0.0038285903930664065,47.20679450035095,10000
