training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/distill_loss,training/critic/mc_loss,training/critic/q_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/critic/total_loss,training/critic/z_mc_target_mean,training/critic/z_mean,training/critic/z_target_mean,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/distill_loss,validation/critic/mc_loss,validation/critic/q_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/critic/total_loss,validation/critic/z_mc_target_mean,validation/critic/z_mean,validation/critic/z_target_mean,time/epoch_time,time/total_time,step
1.0842495,-2.8083236,0.08424971,0.9704466,4.111788,0.99999976,-4.111788,1.0,0.0,2.5935392,0.10841469,0.52270234,0.07383327,0.0005883637,0.36776862,-0.36702648,-3.4533253,-4.020652,0.22917023,-0.16950339,2.4380226,1.0836209,-2.7873726,0.08362117,0.9494953,4.062181,0.99999976,-4.062181,1.0,0.0,2.6069431,0.14324297,0.51230514,0.076173484,0.00047247735,0.40393728,-0.3584637,-3.4604452,-4.1074414,0.06736502647399903,6.736525535583496,100
1.0822122,-2.7404125,0.08221237,0.90253544,6.1052155,0.9999998,-6.1052155,1.0,0.0,4.1699147,0.18180329,0.26617953,0.029949047,2.6528753e-06,0.59879476,-0.3737329,-5.0432453,-5.5844593,0.04780558,-0.048922945,0.80190307,1.0819505,-2.731688,0.081950635,0.8938109,5.9593267,0.9999999,-5.9593267,1.0,0.0,4.196184,0.22404602,0.53077656,0.036323287,8.975618e-06,0.6436645,-0.3856762,-5.0790796,-5.818363,0.004729654788970947,7.209546089172363,200
