env,controller,control_head,eval_setting,eval_seed,transition_seeds,task_ids,controller_steps,matched_sweeps,full_sweeps,bellman_matched,stochastic_trl,bellman_full,sto_minus_matched,value_action_agreement,value_steps,source
antmaze-teleport-navigate-v0,50k full-goal BC + body-nearest k16,raw-observation tie-policy MLP,"seed 0, tasks 4-5, 20 episodes/task",0,,"4,5",50000,6,180,0.350,0.925,0.925,0.575,1.000,2000,results/antmaze_navigate_tie_policy_head_hard_tasks_ep20_seed0.csv
antmaze-teleport-stitch-v0,20k full-goal BC + body-nearest k16,raw-observation tie-policy MLP,"seed 0, tasks 4-5, 20 episodes/task",0,,"4,5",20000,6,180,0.400,0.950,0.950,0.550,1.000,2000,results/antmaze_stitch_tie_policy_head_hard_tasks_ep20_seed0.csv
