env,controller,transition_model,control_head,eval_setting,eval_seeds,transition_seed,task_ids,controller_steps,matched_sweeps,full_sweeps,bellman_matched,stochastic_trl,bellman_full,sto_minus_matched,transition_oracle_top1,value_action_agreement_min,sources
antmaze-teleport-navigate-v0,50k full-goal BC + body-nearest k16,raw-observation MLP jump-change,previous-action policy MLP,"3 eval seeds, tasks 4-5, 5 episodes/task","0,1,2",0,"4,5",50000,6,180,0.367,0.900,0.900,0.533,1.000,1.000,results/antmaze_navigate_rawobs_transition_prev_policy_head_ep5_seed0.csv;results/antmaze_navigate_rawobs_transition_prev_policy_head_ep5_seed12.csv
antmaze-teleport-stitch-v0,20k full-goal BC + body-nearest k16,raw-observation MLP jump-change,previous-action policy MLP,"3 eval seeds, tasks 4-5, 5 episodes/task","0,1,2",0,"4,5",20000,6,180,0.333,1.000,1.000,0.667,0.994,1.000,results/antmaze_stitch_rawobs_transition_prev_policy_head_ep5_seed0.csv;results/antmaze_stitch_rawobs_transition_prev_policy_head_ep5_seed12.csv
