env,controller,transition_model,control_head,eval_setting,eval_seed,transition_seeds,task_ids,controller_steps,matched_sweeps,full_sweeps,bellman_matched,stochastic_trl,bellman_full,sto_minus_matched,transition_oracle_l1_max,transition_oracle_top1_min,value_action_agreement_min,sources
antmaze-teleport-navigate-v0,50k full-goal BC + body-nearest k16,raw-observation MLP jump-change,raw-observation tie-policy MLP,"seed 0, tasks 4-5, 10 episodes/task",0,"0,1,2","4,5",50000,6,180,0.300,0.950,0.950,0.650,0.000,0.956,0.999,results/antmaze_navigate_rawobs_transition_tie_policy_head_ep10_seed0.csv;results/antmaze_navigate_rawobs_transition_tie_policy_head_ep10_tseed1.csv;results/antmaze_navigate_rawobs_transition_tie_policy_head_ep10_tseed2.csv
antmaze-teleport-stitch-v0,20k full-goal BC + body-nearest k16,raw-observation MLP jump-change,raw-observation tie-policy MLP,"seed 0, tasks 4-5, 10 episodes/task",0,"0,1,2","4,5",20000,6,180,0.300,1.000,1.000,0.700,0.000,1.000,0.999,results/antmaze_stitch_rawobs_transition_tie_policy_head_ep10_seed0.csv;results/antmaze_stitch_rawobs_transition_tie_policy_head_ep10_tseed1.csv;results/antmaze_stitch_rawobs_transition_tie_policy_head_ep10_tseed2.csv
