comparison,n_seeds,mean_diff,sample_sd_diff,sem_diff,ci95_low,ci95_high,min_seed_diff,max_seed_diff,all_seed_diffs_positive,relative_gain_vs_right,full_gap_recovery
Stochastic TRL - Bellman matched,5,0.139,0.022,0.010,0.112,0.166,0.124,0.172,True,0.644,0.750
Bellman full - Stochastic TRL,5,0.046,0.010,0.005,0.033,0.059,0.036,0.060,True,0.131,0.250
