env,n_eval_seeds,sto_minus_matched_mean,ci95_low,ci95_high,min_seed_diff,max_seed_diff,full_minus_sto_mean,all_seed_diffs_positive
antmaze-teleport-navigate-v0,3,0.637,0.525,0.749,0.590,0.680,0.000,True
antmaze-teleport-stitch-v0,3,0.643,0.494,0.793,0.580,0.700,0.000,True
