env,transition_model,control_head,eval_setting,eval_seed,transition_seeds,matched_sweeps,full_sweeps,bellman_matched,stochastic_trl,bellman_full,sto_minus_matched,transition_top1_min,value_action_agreement_min,sources
pointmaze-teleport-navigate-v0,raw-observation MLP cell-change,raw-observation tie-policy MLP,"seed 0, 3 transition seeds, all tasks, 20 episodes/task",0,"0,1,2",6,180,0.530,0.980,0.980,0.450,0.918,0.978,results/pointmaze_navigate_rawobs_mlp_transition_tie_policy_methods_ep20_seed0.csv;results/pointmaze_navigate_rawobs_mlp_transition_tie_policy_methods_ep20_tseed1.csv;results/pointmaze_navigate_rawobs_mlp_transition_tie_policy_methods_ep20_tseed2.csv
pointmaze-teleport-stitch-v0,raw-observation MLP cell-change,raw-observation tie-policy MLP,"seed 0, 3 transition seeds, all tasks, 20 episodes/task",0,"0,1,2",6,180,0.530,0.980,0.980,0.450,0.918,0.978,results/pointmaze_stitch_rawobs_mlp_transition_tie_policy_methods_ep20_seed0.csv;results/pointmaze_stitch_rawobs_mlp_transition_tie_policy_methods_ep20_tseed1.csv;results/pointmaze_stitch_rawobs_mlp_transition_tie_policy_methods_ep20_tseed2.csv
