env,episodes_per_task,eval_seed,controller_steps,method,sweeps,mean_success,task1_mean,task2_mean,task3_mean,task4_mean,task5_mean
antmaze-teleport-navigate-v0,20,0,50000,Bellman matched,6,0.360,0.000,0.600,0.500,0.400,0.300
antmaze-teleport-navigate-v0,20,0,50000,Stochastic TRL,6,0.950,0.950,1.000,0.950,1.000,0.850
antmaze-teleport-navigate-v0,20,0,50000,Bellman full,180,0.950,0.950,1.000,0.950,1.000,0.850
antmaze-teleport-stitch-v0,20,0,20000,Bellman matched,6,0.380,0.000,0.600,0.500,0.400,0.400
antmaze-teleport-stitch-v0,20,0,20000,Stochastic TRL,6,0.960,0.950,0.950,1.000,0.950,0.950
antmaze-teleport-stitch-v0,20,0,20000,Bellman full,180,0.960,0.950,0.950,1.000,0.950,0.950
