env,controller,transition_model,eval_setting,transition_seeds,matched_sweeps,full_sweeps,bellman_matched,stochastic_trl,bellman_full,sto_minus_matched,oracle_l1_range,oracle_top1_range,sources
antmaze-teleport-navigate-v0,50k BC,"table softmax, 20 samples/row","seed 0, tasks 4-5, 10 episodes/task","0,1,2",6,180,0.300,0.950,0.950,0.650,0.014-0.015,0.961-0.978,results/antmaze_navigate_learned_transition_samples20_ep10_tseed0.csv;results/antmaze_navigate_learned_transition_samples20_ep10_tseed1.csv;results/antmaze_navigate_learned_transition_samples20_ep10_tseed2.csv
antmaze-teleport-stitch-v0,20k BC,"table softmax, 20 samples/row","seed 0, tasks 4-5, 10 episodes/task","0,1,2",6,180,0.367,1.000,1.000,0.633,0.013-0.015,0.939-0.961,results/antmaze_stitch_learned_transition_samples20_ep10_tseed0.csv;results/antmaze_stitch_learned_transition_samples20_ep10_tseed1.csv;results/antmaze_stitch_learned_transition_samples20_ep10_tseed2.csv
antmaze-teleport-navigate-v0,50k BC,raw-observation MLP jump-change,"seed 0, tasks 4-5, 10 episodes/task","0,1,2",6,180,0.300,0.950,0.950,0.650,0.000-0.000,0.956-1.000,results/antmaze_navigate_rawobs_mlp_jumpchanges_ep10_seed0.csv;results/antmaze_navigate_rawobs_mlp_jumpchanges_ep10_tseed1.csv;results/antmaze_navigate_rawobs_mlp_jumpchanges_ep10_tseed2.csv
antmaze-teleport-stitch-v0,20k BC,raw-observation MLP jump-change,"seed 0, tasks 4-5, 10 episodes/task","0,1,2",6,180,0.300,1.000,1.000,0.700,0.000-0.000,1.000-1.000,results/antmaze_stitch_rawobs_mlp_jumpchanges_ep10_seed0.csv;results/antmaze_stitch_rawobs_mlp_jumpchanges_ep10_tseed1.csv;results/antmaze_stitch_rawobs_mlp_jumpchanges_ep10_tseed2.csv
