env,transition_model,control_head,eval_setting,eval_seed,value_steps,matched_sweeps,full_sweeps,bellman_matched,stochastic_trl,bellman_full,sto_minus_matched,transition_top1,value_action_agreement,source
pointmaze-teleport-navigate-v0,raw-observation MLP cell-change,previous-action policy MLP,"seed 0, all tasks, 20 episodes/task",0,1000,6,180,0.530,0.980,0.980,0.450,1.000,1.000,results/pointmaze_navigate_rawobs_mlp_transition_prev_policy_ep20_seed0.csv
pointmaze-teleport-stitch-v0,raw-observation MLP cell-change,previous-action policy MLP,"seed 0, all tasks, 20 episodes/task",0,1000,6,180,0.530,0.980,0.980,0.450,0.959,1.000,results/pointmaze_stitch_rawobs_mlp_transition_prev_policy_ep20_seed0.csv
