method,sweeps,n,mean_success,task1_mean,task2_mean,task3_mean,task4_mean,task5_mean
Bellman matched,6,1,0.38,0.0,0.5,0.6,0.4,0.4
Stochastic TRL,6,1,0.9400000000000001,1.0,0.9,1.0,1.0,0.8
Bellman full,180,1,0.96,1.0,0.9,1.0,1.0,0.9
