env,transition_model,control_head,eval_setting,eval_seeds,matched_sweeps,full_sweeps,bellman_matched,stochastic_trl,bellman_full,sto_minus_matched,transition_top1,value_action_agreement_min,sources
pointmaze-teleport-navigate-v0,raw-observation MLP cell-change,raw-observation tie-policy MLP,"3 eval seeds, all tasks, 20 episodes/task","0,1,2",6,180,0.417,0.927,0.927,0.510,1.000,0.982,results/pointmaze_navigate_rawobs_mlp_transition_tie_policy_methods_ep20_seed0.csv;results/pointmaze_navigate_rawobs_mlp_transition_tie_policy_methods_ep20_evalseed12.csv
pointmaze-teleport-stitch-v0,raw-observation MLP cell-change,raw-observation tie-policy MLP,"3 eval seeds, all tasks, 20 episodes/task","0,1,2",6,180,0.417,0.927,0.927,0.510,0.959,0.978,results/pointmaze_stitch_rawobs_mlp_transition_tie_policy_methods_ep20_seed0.csv;results/pointmaze_stitch_rawobs_mlp_transition_tie_policy_methods_ep20_evalseed12.csv
