comparison,n_seeds,mean_diff,sample_sd_diff,sem_diff,ci95_low,ci95_high,min_seed_diff,max_seed_diff,all_seed_diffs_nonnegative,relative_gain_vs_right
Stochastic TRL - Bellman matched,5,0.558,0.045,0.020,0.501,0.614,0.492,0.604,True,1.625
Bellman full - Stochastic TRL,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,True,0.000
