env,controller,transition_model,control_head,eval_setting,eval_seeds,transition_seed,task_ids,controller_steps,matched_sweeps,full_sweeps,bellman_matched,stochastic_trl,bellman_full,sto_minus_matched,transition_oracle_top1,value_action_agreement_min,sources
antmaze-teleport-navigate-v0,50k full-goal BC + body-nearest k16,raw-observation MLP jump-change,raw-observation tie-policy MLP,"3 eval seeds, tasks 4-5, 10 episodes/task","0,1,2",0,"4,5",50000,6,180,0.283,0.933,0.933,0.650,1.000,0.999,results/antmaze_navigate_rawobs_transition_tie_policy_head_ep10_seed0.csv;results/antmaze_navigate_rawobs_transition_tie_policy_head_ep10_tseed0_evalseed12.csv
antmaze-teleport-stitch-v0,20k full-goal BC + body-nearest k16,raw-observation MLP jump-change,raw-observation tie-policy MLP,"3 eval seeds, tasks 4-5, 10 episodes/task","0,1,2",0,"4,5",20000,6,180,0.283,0.967,0.967,0.683,1.000,0.999,results/antmaze_stitch_rawobs_transition_tie_policy_head_ep10_seed0.csv;results/antmaze_stitch_rawobs_transition_tie_policy_head_ep10_tseed0_evalseed12.csv
