env,controller,eval_setting,eval_seeds,controller_steps,matched_sweeps,full_sweeps,bellman_matched,stochastic_trl,bellman_full,sto_minus_matched,sources
pointmaze-teleport-navigate-v0,5k full-goal BC + body-nearest k16,"3 eval seeds, 20 episodes/task","0,1,2",5000,6,180,0.323,1.000,1.000,0.677,results/pointmaze_bc_topology_navigate_fullgoal_5k_ep20_seed0.csv;results/pointmaze_bc_topology_navigate_fullgoal_5k_ep20_seed12.csv
pointmaze-teleport-stitch-v0,5k full-goal BC + body-nearest k16,"3 eval seeds, 20 episodes/task","0,1,2",5000,6,180,0.223,1.000,1.000,0.777,results/pointmaze_bc_topology_stitch_fullgoal_5k_ep20_seed0.csv;results/pointmaze_bc_topology_stitch_fullgoal_5k_ep20_seed12.csv
