training/actor/actor_loss,training/critic/distill_loss,training/critic/improve_frac,training/critic/mc_loss,training/critic/neg_loss,training/critic/neg_q_mean,training/critic/q_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/critic/total_loss,training/critic/z_mc_target_mean,training/critic/z_mean,training/critic/z_target_mean,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/critic/distill_loss,validation/critic/improve_frac,validation/critic/mc_loss,validation/critic/neg_loss,validation/critic/neg_q_mean,validation/critic/q_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/critic/total_loss,validation/critic/z_mc_target_mean,validation/critic/z_mean,validation/critic/z_target_mean,time/epoch_time,time/total_time,step
1.2102545,0.0,0.017578125,0.0315304,0.7114463,0.4827902,9.579571e-06,0.80018836,0.63706243,0.3124186,0.10268461,-0.34017745,-0.46234614,-0.84062815,1.329631,-0.50434786,9.748388,1.2672921,0.0,0.009765625,0.03860333,0.82127917,0.53644174,0.0002987657,0.8203483,0.6498089,0.37855658,0.12103002,-0.3825184,-0.44309682,-0.889021,0.006192358175913493,18.577096223831177,3000
1.1019083,0.0,0.03515625,0.04574116,0.6423087,0.4445951,0.00035352743,0.80705595,0.61584723,0.23307501,0.11032556,-0.37792635,-0.5008754,-0.8466296,3.8223689,-2.6246784,19.256151,0.98883367,0.0,0.01171875,0.043258764,0.6866822,0.47324643,0.00043050348,0.8066125,0.60126615,0.31357265,0.11235749,-0.35958925,-0.5244954,-0.89845383,0.004008860190709432,30.603706121444702,6000
0.9606512,0.0,0.02734375,0.035973556,0.6932535,0.46215484,0.0008237305,0.83483416,0.65015876,0.2613535,0.106122635,-0.3734241,-0.442709,-0.815815,6.638877,-2.5735266,19.595251,1.1930354,0.0,0.005859375,0.033823974,0.73797333,0.48901314,0.00012615301,0.84049684,0.64262825,0.39841527,0.107747465,-0.38144368,-0.45421338,-0.8664056,0.003935224215189616,42.409401416778564,9000
1.0762613,0.0,0.015625,0.040572237,0.67722553,0.46095178,1.9555946e-05,0.79069495,0.6125332,0.36542785,0.10831435,-0.35933524,-0.5037066,-0.8299906,3.2958057,-3.588846,19.347212,1.0176282,0.0,0.02734375,0.049259327,0.67932665,0.47052768,6.4468055e-05,0.796364,0.57619107,0.17174573,0.11725646,-0.39304307,-0.56967616,-0.9017261,0.003938774665196737,54.22574472427368,12000
0.87519,0.0,0.009765625,0.03471929,0.64505446,0.43700504,5.002403e-07,0.8156294,0.63711756,0.36172685,0.09922524,-0.3829053,-0.46362215,-0.8162153,3.187743,-1.6258543,12.366177,1.1826019,0.0,0.025390625,0.0434608,0.72476715,0.492757,0.00028600742,0.80923253,0.6107472,0.35917917,0.11622353,-0.40175432,-0.5077839,-0.881758,0.00400698439280192,66.2467188835144,15000
1.068918,0.0,0.005859375,0.03737297,0.67860997,0.4549296,3.7717655e-05,0.8141511,0.6410903,0.33139637,0.10527168,-0.35881937,-0.45845997,-0.8284174,1.1413677,-0.98980606,7.1447115,1.015235,0.0,0.009765625,0.043587606,0.6807351,0.45557654,0.00018508843,0.81191176,0.6339725,0.30310816,0.11184621,-0.35947204,-0.47400343,-0.8566343,0.0039711087544759115,78.16006374359131,18000
0.9714254,0.0,0.03125,0.038502477,0.6433749,0.4409498,0.00051270437,0.78770477,0.6199823,0.25643367,0.10335267,-0.38933423,-0.4906116,-0.8659152,0.3779766,-0.63486874,4.816064,1.0470724,0.0,0.048828125,0.044383045,0.6649878,0.45091602,0.0005695046,0.7852151,0.62327075,0.3186847,0.11145133,-0.3491584,-0.48671848,-0.83413064,0.0035163217385609942,88.70903992652893,21000
0.953938,0.0,0.021484375,0.0386462,0.6566293,0.43959272,1.9193738e-05,0.82736266,0.63733566,0.29490077,0.10432833,-0.37737137,-0.46365434,-0.8090048,2.492256,-2.5324259,10.994113,1.0484424,0.0,0.033203125,0.04196614,0.7034795,0.47107112,6.7432593e-06,0.77679443,0.6096878,0.28957823,0.11232084,-0.35535282,-0.5087466,-0.8716815,0.003320509115854899,98.67059302330017,24000
1.0615023,0.0,0.017578125,0.03742419,0.6628355,0.4458862,0.00022014216,0.81984675,0.63771236,0.3632999,0.10392788,-0.37533522,-0.46136016,-0.84368575,2.0666394,-1.2680801,7.2008753,1.0286748,0.0,0.005859375,0.041664276,0.69456065,0.46536493,6.1577896e-07,0.8138532,0.6295047,0.28426445,0.111120954,-0.3811623,-0.47764385,-0.85345846,0.003703165133794149,109.7801125049591,27000
0.9284205,0.0,0.03515625,0.037813798,0.66095614,0.4414126,0.000738832,0.8158952,0.6373122,0.20038706,0.10464825,-0.36092585,-0.4631042,-0.816201,1.4663094,-1.0403597,6.952442,0.9335052,0.0,0.015625,0.04135807,0.7090151,0.47870946,0.00031107527,0.83436096,0.6273781,0.35171327,0.11257065,-0.35743195,-0.4795073,-0.85455525,0.0038021469910939536,121.18656420707703,30000
