training/actor/actor_loss,training/critic/distill_loss,training/critic/improve_frac,training/critic/mc_loss,training/critic/neg_loss,training/critic/neg_q_mean,training/critic/q_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/critic/total_loss,training/critic/z_mc_target_mean,training/critic/z_mean,training/critic/z_target_mean,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/critic/distill_loss,validation/critic/improve_frac,validation/critic/mc_loss,validation/critic/neg_loss,validation/critic/neg_q_mean,validation/critic/q_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/critic/total_loss,validation/critic/z_mc_target_mean,validation/critic/z_mean,validation/critic/z_target_mean,time/epoch_time,time/total_time,step
1.3763523,0.0,0.01953125,0.09188135,0.5272291,0.39386407,1.5215587e-05,0.771131,0.52037156,0.1699498,0.2500653,-0.35682622,-0.682253,-1.137822,0.66116226,-0.64640486,12.779068,1.2522961,0.0,0.01171875,0.075031444,0.5690986,0.41827983,0.0003769048,0.76493376,0.53941834,0.21951717,0.24613792,-0.37352574,-0.6410012,-1.1638346,0.011228524208068847,11.228543281555176,1000
1.2728757,0.0,0.015625,0.07432619,0.5402732,0.39386356,0.00038174045,0.78313583,0.537132,0.15822314,0.23678988,-0.40482616,-0.6443751,-1.1112391,0.8733764,-1.0202492,14.952649,1.3532305,0.0,0.021484375,0.087713696,0.55903167,0.40766144,0.0005043671,0.78569627,0.5402847,0.11305392,0.25592756,-0.3407637,-0.6392051,-1.1083968,0.004082313776016235,15.310872316360474,2000
1.1571552,0.0,0.015625,0.057103418,0.58456033,0.41810927,0.0004333707,0.78607684,0.5654354,0.17619549,0.23290488,-0.4076205,-0.59511626,-1.106228,1.0511482,-0.54969615,7.7955313,1.2497213,0.0,0.01953125,0.09638566,0.51543844,0.3830322,9.845386e-05,0.75495356,0.5218827,0.11353334,0.25111565,-0.34875587,-0.68064046,-1.1238561,0.003986678123474121,19.29756236076355,3000
1.1459173,0.0,0.0078125,0.057101756,0.57216614,0.4057409,0.0003419253,0.789652,0.5848594,0.14758387,0.22909352,-0.3823191,-0.5566478,-1.0636687,1.6705037,-1.8572999,12.370112,1.0959326,0.0,0.01953125,0.06056477,0.5941637,0.42593616,0.000389275,0.7772609,0.562036,0.2513229,0.23920317,-0.39179248,-0.5983189,-1.1436384,0.00400232720375061,23.299904346466064,4000
1.2043211,0.0,0.00390625,0.054187883,0.5668812,0.39940113,0.00037455058,0.856834,0.59242517,0.26926714,0.2246268,-0.3582175,-0.54604816,-1.0568124,0.7654696,-2.075476,9.997715,1.0296627,0.0,0.013671875,0.07602386,0.56553304,0.40683854,0.0004328768,0.7831341,0.5553215,0.12151443,0.24611665,-0.36033964,-0.6175606,-1.1006798,0.004221514463424682,27.521445274353027,5000
1.0189462,0.0,0.01953125,0.071190014,0.5218723,0.3785476,4.106594e-05,0.8299176,0.5532876,0.056830246,0.22779277,-0.37940362,-0.6173296,-1.0521102,1.9557853,-1.782804,15.168724,1.0001245,0.0,0.01171875,0.06750609,0.53022766,0.3867885,3.108283e-06,0.8231818,0.562718,0.28296512,0.22657749,-0.35094833,-0.59756744,-1.0753634,0.0043535599708557126,31.875027656555176,6000
1.0725328,0.0,0.015625,0.06348334,0.50406885,0.36679178,0.00031190817,0.845499,0.57243884,0.26199836,0.21501592,-0.38353452,-0.57845867,-1.0590314,3.518258,-2.546994,13.859541,1.0706239,0.0,0.02734375,0.067567214,0.55351114,0.4033844,0.0007138918,0.8030147,0.56406593,0.16825834,0.23433447,-0.37756288,-0.5982913,-1.0617428,0.004204322338104248,36.07938742637634,7000
0.982955,0.0,0.03515625,0.076742195,0.50182295,0.36713856,0.00035444027,0.78953767,0.5430206,0.062907025,0.22764352,-0.36920723,-0.63647604,-1.0557822,1.030522,-1.1643608,8.743077,1.1341072,0.0,0.03515625,0.07595022,0.5139442,0.37808982,0.0002558162,0.79918045,0.54045767,0.26500565,0.2303893,-0.3660221,-0.63749766,-1.0782351,0.0044521079063415524,40.53152084350586,8000
0.901796,0.0,0.0078125,0.060427397,0.5483341,0.38961792,0.000307744,0.8089855,0.5839038,0.27419275,0.22523537,-0.37143096,-0.55873567,-1.0456067,2.0929196,-2.3980954,12.9007,1.0213602,0.0,0.005859375,0.07165083,0.5763511,0.41361383,8.178568e-05,0.8160736,0.565289,0.20169023,0.24463797,-0.3810646,-0.6013963,-1.1111455,0.004230911016464233,44.7624454498291,9000
1.0923548,0.0,0.01953125,0.050226804,0.5121548,0.36753052,1.1381779e-05,0.80978405,0.57489717,0.23257232,0.20388463,-0.3908897,-0.5731926,-1.0167334,1.6450882,-2.8016999,14.397784,1.0205917,0.0,0.021484375,0.090106875,0.5251413,0.3833654,6.285582e-05,0.7737011,0.5287734,0.15755343,0.24771212,-0.3632434,-0.66276634,-1.0899038,0.004236855983734131,48.999332427978516,10000
