training/actor/actor_loss,training/actor/mse,training/actor/pred_action_abs_mean,training/actor/target_action_abs_mean,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/mse,validation/actor/pred_action_abs_mean,validation/actor/target_action_abs_mean,time/epoch_time,time/total_time,step
0.48786986,0.48786986,0.13043374,0.64547664,0.6965749,-0.44684234,6.779352,0.4675258,0.4675258,0.14596336,0.6179629,0.0008697757720947265,1.7395648956298828,2000
0.41934717,0.41934717,0.181232,0.61294085,0.26435345,-1.3326602,5.2045393,0.48979604,0.48979604,0.16540529,0.6337641,0.000802585244178772,3.3447437286376953,4000
0.406498,0.406498,0.19475105,0.609604,0.31444046,-1.0955162,5.029268,0.45788997,0.45788997,0.18895932,0.63020957,0.005156112909317017,13.65697431564331,6000
0.40146366,0.40146366,0.20841414,0.6112781,0.5424063,-0.23093964,2.9483867,0.44995317,0.44995317,0.18242162,0.6368789,0.0006742016077041626,15.005388259887695,8000
0.40289718,0.40289718,0.17795105,0.6059076,0.5058826,-0.6030316,4.2668753,0.4173471,0.4173471,0.18384382,0.6230948,0.0007235866785049439,16.4525728225708,10000
